epoch,step,train_loss_epoch,train_loss_step
0,3,0.0912293940782547,
1,7,0.06028325483202934,
2,11,0.029236968606710434,
3,15,0.026376638561487198,
4,19,0.026738563552498817,
5,23,0.0207240991294384,
6,27,0.020312469452619553,
7,31,0.019457651302218437,
8,35,0.01838652417063713,
9,39,0.01874195970594883,
10,43,0.01813988760113716,
11,47,0.01766066439449787,
12,49,,0.01727954111993313
12,51,0.017618980258703232,
13,55,0.01740967109799385,
14,59,0.017192484810948372,
15,63,0.01709137111902237,
16,67,0.01700340025126934,
17,71,0.016935940831899643,
18,75,0.016834363341331482,
19,79,0.01678474433720112,
20,83,0.01681957021355629,
21,87,0.016737522557377815,
22,91,0.016646305099129677,
23,95,0.016652384772896767,
24,99,,0.013911583460867405
24,99,0.01658826321363449,
25,103,0.016623839735984802,
26,107,0.016551461070775986,
27,111,0.01654285378754139,
28,115,0.01644427515566349,
29,119,0.016426032409071922,
30,123,0.01640171930193901,
31,127,0.01634279638528824,
32,131,0.01629098877310753,
33,135,0.016251182183623314,
34,139,0.01623537391424179,
35,143,0.01616647280752659,
36,147,0.016134725883603096,
37,149,,0.016145074740052223
37,151,0.01611548662185669,
38,155,0.016069049015641212,
39,159,0.016040779650211334,
40,163,0.015989653766155243,
41,167,0.0159439854323864,
42,171,0.015926804393529892,
43,175,0.01585587114095688,
44,179,0.015839112922549248,
45,183,0.015775686129927635,
46,187,0.01587851718068123,
47,191,0.015758629888296127,
48,195,0.015737859532237053,
49,199,,0.014131415635347366
49,199,0.015628822147846222,
