epoch,step,train_loss_epoch,train_loss_step
0,6,0.03752954304218292,
1,13,0.015172640793025494,
2,20,0.011246690526604652,
3,27,0.008681501261889935,
4,34,0.007773084565997124,
5,41,0.007330005522817373,
6,48,0.006872533354908228,
7,49,,0.006644015200436115
7,55,0.006743013858795166,
8,62,0.00665900157764554,
9,69,0.006562310736626387,
10,76,0.006491934414952993,
11,83,0.0064623598009347916,
12,90,0.006419368553906679,
13,97,0.006394324358552694,
14,99,,0.006216836161911488
14,104,0.006345996633172035,
15,111,0.006313722115010023,
16,118,0.006268783938139677,
17,125,0.006232562940567732,
18,132,0.0062145693227648735,
19,139,0.00617821654304862,
20,146,0.006138443015515804,
21,149,,0.0061293840408325195
21,153,0.006113661918789148,
22,160,0.006073035299777985,
23,167,0.006044111214578152,
24,174,0.006029970478266478,
25,181,0.006023874972015619,
26,188,0.006006814073771238,
27,195,0.005970012862235308,
28,199,,0.005732828285545111
28,202,0.005969840567559004,
29,209,0.006051922682672739,
30,216,0.006043599918484688,
31,223,0.006150740198791027,
32,230,0.00613044947385788,
33,237,0.005991388112306595,
34,244,0.0059344954788684845,
35,249,,0.0058794342912733555
35,251,0.005977672059088945,
36,258,0.005927783902734518,
37,265,0.005934984423220158,
38,272,0.005870550870895386,
39,279,0.005795298144221306,
40,286,0.005762202199548483,
41,293,0.005740464199334383,
42,299,,0.005636022426187992
42,300,0.005730655509978533,
43,307,0.005677339620888233,
44,314,0.005691362079232931,
45,321,0.005896489601582289,
46,328,0.005735374055802822,
47,335,0.005667774938046932,
48,342,0.005663830321282148,
49,349,,0.006357470992952585
49,349,0.005562483798712492,
