"Step","train_75_doubledt - val_mean_loss_step","train_75_doubledt - val_mean_loss_step__MIN","train_75_doubledt - val_mean_loss_step__MAX","train_75 - val_mean_loss_step","train_75 - val_mean_loss_step__MIN","train_75 - val_mean_loss_step__MAX"
"948","0.12593290209770203","0.12593290209770203","0.12593290209770203","","",""
"949","0.11543228477239609","0.11543228477239609","0.11543228477239609","","",""
"951","0.08318240940570831","0.08318240940570831","0.08318240940570831","","",""
"952","0.0886232778429985","0.0886232778429985","0.0886232778429985","","",""
"953","0.09364546835422516","0.09364546835422516","0.09364546835422516","","",""
"955","0.0989668071269989","0.0989668071269989","0.0989668071269989","","",""
"957","0.09598597139120102","0.09598597139120102","0.09598597139120102","","",""
"959","0.10367146879434586","0.10367146879434586","0.10367146879434586","","",""
"962","0.1008950024843216","0.1008950024843216","0.1008950024843216","","",""
"964","0.1028561145067215","0.1028561145067215","0.1028561145067215","","",""
"965","0.0977703258395195","0.0977703258395195","0.0977703258395195","","",""
"966","0.09913048893213272","0.09913048893213272","0.09913048893213272","","",""
"967","0.11437144130468369","0.11437144130468369","0.11437144130468369","","",""
"968","0.07460252940654755","0.07460252940654755","0.07460252940654755","","",""
"969","0.07361941039562225","0.07361941039562225","0.07361941039562225","","",""
"973","0.09288033097982407","0.09288033097982407","0.09288033097982407","","",""
"974","0.08955927193164825","0.08955927193164825","0.08955927193164825","","",""
"975","0.09527867287397385","0.09527867287397385","0.09527867287397385","","",""
"976","0.09111674875020981","0.09111674875020981","0.09111674875020981","","",""
"979","0.09092382341623306","0.09092382341623306","0.09092382341623306","","",""
"981","0.09272599220275879","0.09272599220275879","0.09272599220275879","","",""
"982","0.08731883764266968","0.08731883764266968","0.08731883764266968","","",""
"983","0.0912080630660057","0.0912080630660057","0.0912080630660057","","",""
"984","0.0896485224366188","0.0896485224366188","0.0896485224366188","","",""
"987","0.07305769622325897","0.07305769622325897","0.07305769622325897","","",""
"988","0.07487274706363678","0.07487274706363678","0.07487274706363678","","",""
"990","0.06578268855810165","0.06578268855810165","0.06578268855810165","","",""
"1897","","","","0.007408744189888239","0.007408744189888239","0.007408744189888239"
"1898","","","","0.005506615620106459","0.005506615620106459","0.005506615620106459"
