"Step","train_75_doubledt - train_loss_step","train_75_doubledt - train_loss_step__MIN","train_75_doubledt - train_loss_step__MAX","train_75 - train_loss_step","train_75 - train_loss_step__MIN","train_75 - train_loss_step__MAX"
"77","0.0009313735063187778","0.0009313735063187778","0.0009313735063187778","0.0007601827965117991","0.0007601827965117991","0.0007601827965117991"
"123","0.0003813855000771582","0.0003813855000771582","0.0003813855000771582","0.0003426757175475359","0.0003426757175475359","0.0003426757175475359"
"155","0.00013278055121190846","0.00013278055121190846","0.00013278055121190846","0.00011884947889484465","0.00011884947889484465","0.00011884947889484465"
"158","0.00018669795827008784","0.00018669795827008784","0.00018669795827008784","0.00013733514060731977","0.00013733514060731977","0.00013733514060731977"
"168","0.0002854931226465851","0.0002854931226465851","0.0002854931226465851","0.00017786261742003262","0.00017786261742003262","0.00017786261742003262"
"189","0.00024011702043935657","0.00024011702043935657","0.00024011702043935657","0.00015193477156572044","0.00015193477156572044","0.00015193477156572044"
"270","0.00016305185272358358","0.00016305185272358358","0.00016305185272358358","0.00009188623516820371","0.00009188623516820371","0.00009188623516820371"
"282","0.0000944152197916992","0.0000944152197916992","0.0000944152197916992","0.00007712766091572121","0.00007712766091572121","0.00007712766091572121"
"305","0.00009393523214384913","0.00009393523214384913","0.00009393523214384913","0.0000393482914660126","0.0000393482914660126","0.0000393482914660126"
"309","0.00006445565668400377","0.00006445565668400377","0.00006445565668400377","0.00005325740130501799","0.00005325740130501799","0.00005325740130501799"
"322","0.00008558863919461146","0.00008558863919461146","0.00008558863919461146","0.00006803503492847085","0.00006803503492847085","0.00006803503492847085"
"341","0.00009630319254938513","0.00009630319254938513","0.00009630319254938513","0.00004497999179875478","0.00004497999179875478","0.00004497999179875478"
"393","0.00009398206020705402","0.00009398206020705402","0.00009398206020705402","0.00004600881220540032","0.00004600881220540032","0.00004600881220540032"
"434","0.00009642973600421101","0.00009642973600421101","0.00009642973600421101","0.000038723468605894595","0.000038723468605894595","0.000038723468605894595"
"481","0.00010756890696939081","0.00010756890696939081","0.00010756890696939081","0.00008022451947908849","0.00008022451947908849","0.00008022451947908849"
"519","0.00005057494854554534","0.00005057494854554534","0.00005057494854554534","0.000038636993849650025","0.000038636993849650025","0.000038636993849650025"
"538","0.00007537542842328548","0.00007537542842328548","0.00007537542842328548","0.000017332635252387263","0.000017332635252387263","0.000017332635252387263"
"617","0.00006113982817623764","0.00006113982817623764","0.00006113982817623764","0.000034782155125867575","0.000034782155125867575","0.000034782155125867575"
"656","0.00009865616448223591","0.00009865616448223591","0.00009865616448223591","0.00002142518133041449","0.00002142518133041449","0.00002142518133041449"
"756","0.00003537555312504992","0.00003537555312504992","0.00003537555312504992","0.0000322048035741318","0.0000322048035741318","0.0000322048035741318"
"767","0.00006670760922133923","0.00006670760922133923","0.00006670760922133923","0.00002286502785864286","0.00002286502785864286","0.00002286502785864286"
"793","0.00011122936120955274","0.00011122936120955274","0.00011122936120955274","0.00003268697764724493","0.00003268697764724493","0.00003268697764724493"
"811","0.00006127524829935282","0.00006127524829935282","0.00006127524829935282","0.00002265135117340833","0.00002265135117340833","0.00002265135117340833"
"926","0.00004428758256835863","0.00004428758256835863","0.00004428758256835863","0.000028265312721487135","0.000028265312721487135","0.000028265312721487135"
"952","","","","0.000025512930733384565","0.000025512930733384565","0.000025512930733384565"
"969","","","","0.0000224968753173016","0.0000224968753173016","0.0000224968753173016"
