"Step","train_75_doubledt - val_batch_energy_rel_error","train_75_doubledt - val_batch_energy_rel_error__MIN","train_75_doubledt - val_batch_energy_rel_error__MAX","train_75 - val_batch_energy_rel_error","train_75 - val_batch_energy_rel_error__MIN","train_75 - val_batch_energy_rel_error__MAX"
"948","0.5267796516418457","0.5267796516418457","0.5267796516418457","","",""
"949","0.5298606753349304","0.5298606753349304","0.5298606753349304","","",""
"951","0.5941727757453918","0.5941727757453918","0.5941727757453918","","",""
"952","0.6390669941902161","0.6390669941902161","0.6390669941902161","","",""
"953","0.6258693337440491","0.6258693337440491","0.6258693337440491","","",""
"955","0.6696972846984863","0.6696972846984863","0.6696972846984863","","",""
"957","0.7048199772834778","0.7048199772834778","0.7048199772834778","","",""
"959","0.7083602547645569","0.7083602547645569","0.7083602547645569","","",""
"962","0.7233038544654846","0.7233038544654846","0.7233038544654846","","",""
"964","0.7044078707695007","0.7044078707695007","0.7044078707695007","","",""
"965","0.70359206199646","0.70359206199646","0.70359206199646","","",""
"966","0.6253199577331543","0.6253199577331543","0.6253199577331543","","",""
"967","0.5694154500961304","0.5694154500961304","0.5694154500961304","","",""
"968","0.33543163537979126","0.33543163537979126","0.33543163537979126","","",""
"969","0.26504042744636536","0.26504042744636536","0.26504042744636536","","",""
"973","0.5162741541862488","0.5162741541862488","0.5162741541862488","","",""
"974","0.5334452986717224","0.5334452986717224","0.5334452986717224","","",""
"975","0.5081301927566528","0.5081301927566528","0.5081301927566528","","",""
"976","0.5256677865982056","0.5256677865982056","0.5256677865982056","","",""
"979","0.5525089502334595","0.5525089502334595","0.5525089502334595","","",""
"981","0.5343461632728577","0.5343461632728577","0.5343461632728577","","",""
"982","0.5195821523666382","0.5195821523666382","0.5195821523666382","","",""
"983","0.5184650421142578","0.5184650421142578","0.5184650421142578","","",""
"984","0.4690389633178711","0.4690389633178711","0.4690389633178711","","",""
"987","0.32239076495170593","0.32239076495170593","0.32239076495170593","","",""
"988","0.3875933587551117","0.3875933587551117","0.3875933587551117","","",""
"990","0.36681267619132996","0.36681267619132996","0.36681267619132996","","",""
"1897","","","","0.13625720143318176","0.13625720143318176","0.13625720143318176"
"1898","","","","0.10931544750928879","0.10931544750928879","0.10931544750928879"
"1900","","","","0.28483858704566956","0.28483858704566956","0.28483858704566956"
"1901","","","","0.274321585893631","0.274321585893631","0.274321585893631"
"1902","","","","0.23620101809501648","0.23620101809501648","0.23620101809501648"
"1904","","","","0.15540403127670288","0.15540403127670288","0.15540403127670288"
"1905","","","","0.11517292261123657","0.11517292261123657","0.11517292261123657"
"1906","","","","0.1174030601978302","0.1174030601978302","0.1174030601978302"
"1908","","","","0.09587880969047546","0.09587880969047546","0.09587880969047546"
"1911","","","","0.10228049010038376","0.10228049010038376","0.10228049010038376"
"1913","","","","0.09456153959035873","0.09456153959035873","0.09456153959035873"
"1914","","","","0.10207630693912506","0.10207630693912506","0.10207630693912506"
"1915","","","","0.09700187295675278","0.09700187295675278","0.09700187295675278"
"1916","","","","0.09286931157112122","0.09286931157112122","0.09286931157112122"
"1917","","","","0.10269582271575928","0.10269582271575928","0.10269582271575928"
"1918","","","","0.09031115472316742","0.09031115472316742","0.09031115472316742"
"1922","","","","0.08578207343816757","0.08578207343816757","0.08578207343816757"
"1923","","","","0.08455134183168411","0.08455134183168411","0.08455134183168411"
"1924","","","","0.07987311482429504","0.07987311482429504","0.07987311482429504"
"1925","","","","0.08507779240608215","0.08507779240608215","0.08507779240608215"
"1928","","","","0.0813109278678894","0.0813109278678894","0.0813109278678894"
"1930","","","","0.09973757714033127","0.09973757714033127","0.09973757714033127"
"1931","","","","0.10201394557952881","0.10201394557952881","0.10201394557952881"
"1932","","","","0.13205492496490479","0.13205492496490479","0.13205492496490479"
"1933","","","","0.1273699849843979","0.1273699849843979","0.1273699849843979"
"1936","","","","0.11018787324428558","0.11018787324428558","0.11018787324428558"
"1937","","","","0.11943976581096649","0.11943976581096649","0.11943976581096649"
"1939","","","","0.2507840394973755","0.2507840394973755","0.2507840394973755"
"1941","","","","0.24704590439796448","0.24704590439796448","0.24704590439796448"
"1942","","","","0.15862403810024261","0.15862403810024261","0.15862403810024261"
"1943","","","","0.11210623383522034","0.11210623383522034","0.11210623383522034"
"1945","","","","0.10470510274171829","0.10470510274171829","0.10470510274171829"
"1947","","","","0.10519195348024368","0.10519195348024368","0.10519195348024368"
"1948","0.31145021319389343","0.31145021319389343","0.31145021319389343","0.11131778359413147","0.11131778359413147","0.11131778359413147"
"1949","0.30747324228286743","0.30747324228286743","0.30747324228286743","0.10146982967853546","0.10146982967853546","0.10146982967853546"
"1950","0.31089529395103455","0.31089529395103455","0.31089529395103455","0.08750328421592712","0.08750328421592712","0.08750328421592712"
"1951","","","","0.09016995131969452","0.09016995131969452","0.09016995131969452"
"1952","0.28625982999801636","0.28625982999801636","0.28625982999801636","","",""
"1953","","","","0.07082578539848328","0.07082578539848328","0.07082578539848328"
"1954","0.30324846506118774","0.30324846506118774","0.30324846506118774","0.07124195992946625","0.07124195992946625","0.07124195992946625"
"1955","0.29903075098991394","0.29903075098991394","0.29903075098991394","0.0602058582007885","0.0602058582007885","0.0602058582007885"
"1956","0.30720552802085876","0.30720552802085876","0.30720552802085876","0.06332562863826752","0.06332562863826752","0.06332562863826752"
"1957","0.31815823912620544","0.31815823912620544","0.31815823912620544","","",""
"1959","","","","0.054461367428302765","0.054461367428302765","0.054461367428302765"
"1960","0.34741082787513733","0.34741082787513733","0.34741082787513733","0.04858868569135666","0.04858868569135666","0.04858868569135666"
"1961","0.3642541766166687","0.3642541766166687","0.3642541766166687","","",""
"1962","0.41109055280685425","0.41109055280685425","0.41109055280685425","","",""
"1963","0.42945921421051025","0.42945921421051025","0.42945921421051025","0.056948065757751465","0.056948065757751465","0.056948065757751465"
