model,n_samples,n_ensemble_members,mean_sample_rmse,median_sample_rmse,median_member,median_member_mean_rmse,best_member,best_member_mean_rmse,worst_member,worst_member_mean_rmse
1dt,2050,50,0.0012941725674780488,0.0010314876,61,0.0012372051485365853,84,0.0009077585117073172,79,0.001812031378292683
10dt,2050,50,0.05244087283268293,0.039202584,53,0.04980149992682927,85,0.03577510219512195,78,0.07585752036585365
20dt,2050,50,0.11829580660292682,0.09482597000000001,92,0.10355858407317073,85,0.0822151502195122,56,0.18813516297560975
40dt,2050,50,0.30103338423707315,0.26604511,59,0.28260554914634145,85,0.19679097936585366,79,0.45271440195121954
80dt,2050,50,0.36900276956585365,0.35393045,59,0.35508379219512193,76,0.26650538390243905,57,0.5122565236585366
90dt,2050,50,0.3796784755170731,0.34260041500000005,55,0.36912070829268295,80,0.26543035073170734,57,0.5540597539024391
