"Step","train_75_AR5 - train_loss_step","train_75_AR5 - train_loss_step__MIN","train_75_AR5 - train_loss_step__MAX","train_75 - train_loss_step","train_75 - train_loss_step__MIN","train_75 - train_loss_step__MAX"
"77","0.00859589409083128","0.00859589409083128","0.00859589409083128","0.0007601827965117991","0.0007601827965117991","0.0007601827965117991"
"123","0.007743460591882467","0.007743460591882467","0.007743460591882467","0.0003426757175475359","0.0003426757175475359","0.0003426757175475359"
"155","0.008878047578036785","0.008878047578036785","0.008878047578036785","0.00011884947889484465","0.00011884947889484465","0.00011884947889484465"
"158","0.008929431438446045","0.008929431438446045","0.008929431438446045","0.00013733514060731977","0.00013733514060731977","0.00013733514060731977"
"168","0.008434576913714409","0.008434576913714409","0.008434576913714409","0.00017786261742003262","0.00017786261742003262","0.00017786261742003262"
"189","0.008774032816290855","0.008774032816290855","0.008774032816290855","0.00015193477156572044","0.00015193477156572044","0.00015193477156572044"
"270","0.008830364793539047","0.008830364793539047","0.008830364793539047","0.00009188623516820371","0.00009188623516820371","0.00009188623516820371"
"282","0.00741585111245513","0.00741585111245513","0.00741585111245513","0.00007712766091572121","0.00007712766091572121","0.00007712766091572121"
"305","0.008582256734371185","0.008582256734371185","0.008582256734371185","0.0000393482914660126","0.0000393482914660126","0.0000393482914660126"
"309","0.008256579749286175","0.008256579749286175","0.008256579749286175","0.00005325740130501799","0.00005325740130501799","0.00005325740130501799"
"322","0.008002924732863903","0.008002924732863903","0.008002924732863903","0.00006803503492847085","0.00006803503492847085","0.00006803503492847085"
"341","0.008134457282721996","0.008134457282721996","0.008134457282721996","0.00004497999179875478","0.00004497999179875478","0.00004497999179875478"
"393","0.007096448447555304","0.007096448447555304","0.007096448447555304","0.00004600881220540032","0.00004600881220540032","0.00004600881220540032"
"434","0.004740543197840452","0.004740543197840452","0.004740543197840452","0.000038723468605894595","0.000038723468605894595","0.000038723468605894595"
"481","0.004151914268732071","0.004151914268732071","0.004151914268732071","0.00008022451947908849","0.00008022451947908849","0.00008022451947908849"
"519","0.003410526318475604","0.003410526318475604","0.003410526318475604","0.000038636993849650025","0.000038636993849650025","0.000038636993849650025"
"538","0.0034004654735326767","0.0034004654735326767","0.0034004654735326767","0.000017332635252387263","0.000017332635252387263","0.000017332635252387263"
"617","0.003989435266703367","0.003989435266703367","0.003989435266703367","0.000034782155125867575","0.000034782155125867575","0.000034782155125867575"
"656","0.002286395523697138","0.002286395523697138","0.002286395523697138","0.00002142518133041449","0.00002142518133041449","0.00002142518133041449"
"756","0.0031031209509819746","0.0031031209509819746","0.0031031209509819746","0.0000322048035741318","0.0000322048035741318","0.0000322048035741318"
