"Step","train_75_AR5 - val_mean_loss_step","train_75_AR5 - val_mean_loss_step__MIN","train_75_AR5 - val_mean_loss_step__MAX","train_75 - val_mean_loss_step","train_75 - val_mean_loss_step__MIN","train_75 - val_mean_loss_step__MAX"
"1888","0.015591710805892944","0.015591710805892944","0.015591710805892944","","",""
"1889","0.012772301211953163","0.012772301211953163","0.012772301211953163","","",""
"1891","0.00966794416308403","0.00966794416308403","0.00966794416308403","","",""
"1892","0.009095749817788601","0.009095749817788601","0.009095749817788601","","",""
"1893","0.008615895174443722","0.008615895174443722","0.008615895174443722","","",""
"1895","0.00827858317643404","0.00827858317643404","0.00827858317643404","","",""
"1896","0.00799598265439272","0.00799598265439272","0.00799598265439272","","",""
"1897","0.008093609474599361","0.008093609474599361","0.008093609474599361","0.007408744189888239","0.007408744189888239","0.007408744189888239"
"1898","","","","0.005506615620106459","0.005506615620106459","0.005506615620106459"
"1899","0.00852649100124836","0.00852649100124836","0.00852649100124836","","",""
"1900","","","","0.00552781019359827","0.00552781019359827","0.00552781019359827"
"1901","","","","0.005207774695008993","0.005207774695008993","0.005207774695008993"
"1902","0.008770841173827648","0.008770841173827648","0.008770841173827648","0.0049913497641682625","0.0049913497641682625","0.0049913497641682625"
"1904","0.008882935158908367","0.008882935158908367","0.008882935158908367","0.0048689208924770355","0.0048689208924770355","0.0048689208924770355"
"1905","0.008636290207505226","0.008636290207505226","0.008636290207505226","0.004600060638040304","0.004600060638040304","0.004600060638040304"
"1906","0.008971006609499454","0.008971006609499454","0.008971006609499454","0.004649803042411804","0.004649803042411804","0.004649803042411804"
"1907","0.008799389004707336","0.008799389004707336","0.008799389004707336","","",""
"1908","0.008791900239884853","0.008791900239884853","0.008791900239884853","0.004770969040691853","0.004770969040691853","0.004770969040691853"
"1909","0.008764381520450115","0.008764381520450115","0.008764381520450115","","",""
"1911","","","","0.004808531142771244","0.004808531142771244","0.004808531142771244"
"1913","0.00886908546090126","0.00886908546090126","0.00886908546090126","0.005098681431263685","0.005098681431263685","0.005098681431263685"
"1914","0.008688799105584621","0.008688799105584621","0.008688799105584621","0.004711821675300598","0.004711821675300598","0.004711821675300598"
"1915","0.009186727926135063","0.009186727926135063","0.009186727926135063","0.005163941066712141","0.005163941066712141","0.005163941066712141"
"1916","0.008887693285942078","0.008887693285942078","0.008887693285942078","0.00495167076587677","0.00495167076587677","0.00495167076587677"
"1917","","","","0.004737098701298237","0.004737098701298237","0.004737098701298237"
"1918","","","","0.005021907389163971","0.005021907389163971","0.005021907389163971"
"1919","0.010210610926151276","0.010210610926151276","0.010210610926151276","","",""
"1921","0.012201759964227676","0.012201759964227676","0.012201759964227676","","",""
"1922","0.013404331170022488","0.013404331170022488","0.013404331170022488","0.004601422231644392","0.004601422231644392","0.004601422231644392"
"1923","0.014355972409248352","0.014355972409248352","0.014355972409248352","0.0044969357550144196","0.0044969357550144196","0.0044969357550144196"
"1924","0.014922789297997952","0.014922789297997952","0.014922789297997952","0.004719884134829044","0.004719884134829044","0.004719884134829044"
"1925","","","","0.004378965590149164","0.004378965590149164","0.004378965590149164"
"1927","0.009339607320725918","0.009339607320725918","0.009339607320725918","","",""
"1928","0.00904234778136015","0.00904234778136015","0.00904234778136015","0.0040887207724153996","0.0040887207724153996","0.0040887207724153996"
"1930","0.012508598156273365","0.012508598156273365","0.012508598156273365","0.004426314029842615","0.004426314029842615","0.004426314029842615"
"1931","","","","0.004211556166410446","0.004211556166410446","0.004211556166410446"
"1932","0.009574726223945618","0.009574726223945618","0.009574726223945618","0.004882270935922861","0.004882270935922861","0.004882270935922861"
"1933","0.01164869125932455","0.01164869125932455","0.01164869125932455","0.004907767288386822","0.004907767288386822","0.004907767288386822"
"1934","0.013473555445671082","0.013473555445671082","0.013473555445671082","","",""
"1936","0.012970278039574623","0.012970278039574623","0.012970278039574623","0.004826599266380072","0.004826599266380072","0.004826599266380072"
"1937","","","","0.004276638384908438","0.004276638384908438","0.004276638384908438"
"1938","0.01273310836404562","0.01273310836404562","0.01273310836404562","","",""
"1939","0.012079164385795593","0.012079164385795593","0.012079164385795593","0.005039284471422434","0.005039284471422434","0.005039284471422434"
"1940","0.012021131813526154","0.012021131813526154","0.012021131813526154","","",""
"1941","0.011791749857366085","0.011791749857366085","0.011791749857366085","0.006180369760841131","0.006180369760841131","0.006180369760841131"
"1942","0.011318780481815338","0.011318780481815338","0.011318780481815338","0.00678927032276988","0.00678927032276988","0.00678927032276988"
"1943","","","","0.007375521119683981","0.007375521119683981","0.007375521119683981"
"1944","0.010959378443658352","0.010959378443658352","0.010959378443658352","","",""
"1945","0.010986323468387127","0.010986323468387127","0.010986323468387127","0.00700707733631134","0.00700707733631134","0.00700707733631134"
"1946","0.010944959707558155","0.010944959707558155","0.010944959707558155","","",""
"1947","0.010500865057110786","0.010500865057110786","0.010500865057110786","0.007165043149143457","0.007165043149143457","0.007165043149143457"
"1948","","","","0.006566277239471674","0.006566277239471674","0.006566277239471674"
"1949","","","","0.007001826073974371","0.007001826073974371","0.007001826073974371"
"1950","0.009966384619474411","0.009966384619474411","0.009966384619474411","0.006307736039161682","0.006307736039161682","0.006307736039161682"
"1951","0.010105106048285961","0.010105106048285961","0.010105106048285961","0.006402734667062759","0.006402734667062759","0.006402734667062759"
"1953","","","","0.00582017982378602","0.00582017982378602","0.00582017982378602"
"1954","0.00973965972661972","0.00973965972661972","0.00973965972661972","0.006072481628507376","0.006072481628507376","0.006072481628507376"
"1955","0.009498930536210537","0.009498930536210537","0.009498930536210537","0.005774716380983591","0.005774716380983591","0.005774716380983591"
"1956","0.009783853776752949","0.009783853776752949","0.009783853776752949","0.005444152746349573","0.005444152746349573","0.005444152746349573"
"1957","0.009283691644668579","0.009283691644668579","0.009283691644668579","","",""
"1958","0.009327213279902935","0.009327213279902935","0.009327213279902935","","",""
"1959","0.009472100995481014","0.009472100995481014","0.009472100995481014","0.005008633714169264","0.005008633714169264","0.005008633714169264"
"1960","0.009385046549141407","0.009385046549141407","0.009385046549141407","0.005411806050688028","0.005411806050688028","0.005411806050688028"
"1961","0.00878108013421297","0.00878108013421297","0.00878108013421297","","",""
