epoch,step,train_loss
0,3,0.1515694409608841
1,7,0.09067589789628983
2,11,0.05405266210436821
3,15,0.03430788591504097
4,19,0.020231066271662712
5,23,0.010559570044279099
6,27,0.008834773674607277
7,31,0.009869806468486786
8,35,0.009991398081183434
9,39,0.008716062642633915
10,43,0.007633446250110865
11,47,0.007759165950119495
12,51,0.007862350903451443
13,55,0.007573169656097889
14,59,0.007329693529754877
15,63,0.0073407054878771305
16,67,0.007373984903097153
17,71,0.007301134057343006
18,75,0.007248197216540575
19,79,0.007249890360981226
20,83,0.007243995554745197
21,87,0.007226631511002779
22,91,0.007233889307826757
23,95,0.007227775640785694
24,99,0.007212008349597454
25,103,0.007212766446173191
26,107,0.007208966184407473
27,111,0.007212817668914795
28,115,0.007215197663754225
29,119,0.0072144097648561
30,123,0.0072013260796666145
31,127,0.007198086474090815
32,131,0.007202855311334133
33,135,0.007196969352662563
34,139,0.007197556085884571
35,143,0.007195858750492334
36,147,0.007194606587290764
37,151,0.007190055213868618
38,155,0.007213355973362923
39,159,0.0071896882727742195
40,163,0.007189712952822447
41,167,0.007211342453956604
42,171,0.007189183030277491
43,175,0.007177186664193869
44,179,0.007181783206760883
45,183,0.007200343534350395
46,187,0.007181798107922077
47,191,0.007176184561103582
48,195,0.007193694822490215
49,199,0.007183861918747425
