epoch,step,train_loss_epoch,train_loss_step
0,1,0.06640549004077911,
1,3,0.0635366216301918,
2,5,0.06054748594760895,
3,7,0.06179768964648247,
4,9,0.060412634164094925,
5,11,0.061311960220336914,
6,13,0.0598527230322361,
7,15,0.060215190052986145,
8,17,0.06014531850814819,
9,19,0.05980323627591133,
10,21,0.05979124829173088,
11,23,0.05912969633936882,
12,25,0.05950012430548668,
13,27,0.059081126004457474,
14,29,0.05886060371994972,
15,31,0.05961863324046135,
16,33,0.05909404903650284,
17,35,0.05893793702125549,
18,37,0.058411333709955215,
19,39,0.05953057110309601,
20,41,0.05855201184749603,
21,43,0.058680713176727295,
22,45,0.05904143303632736,
23,47,0.05868472903966904,
24,49,,0.06052505224943161
24,49,0.058703672140836716,
25,51,0.058261703699827194,
26,53,0.058275312185287476,
27,55,0.057916540652513504,
28,57,0.05901457741856575,
29,59,0.05851786211133003,
30,61,0.05797528848052025,
31,63,0.05901410058140755,
32,65,0.05895780771970749,
33,67,0.058900102972984314,
34,69,0.058273136615753174,
35,71,0.05798595771193504,
36,73,0.05789254978299141,
37,75,0.057857710868120193,
38,77,0.05800948292016983,
39,79,0.05754256621003151,
40,81,0.057309333235025406,
41,83,0.05741207301616669,
42,85,0.05748475715517998,
43,87,0.0574258491396904,
44,89,0.057165082544088364,
45,91,0.05712839588522911,
46,93,0.05701806768774986,
47,95,0.057015351951122284,
48,97,0.05679551139473915,
49,99,,0.06003975123167038
49,99,0.05692152678966522,
