epoch,step,train_loss
0,7,0.073202945291996
1,15,0.020501893013715744
2,23,0.0034320747945457697
3,31,0.004348883405327797
4,39,0.0018067148048430681
5,47,0.0019555382896214724
6,55,0.0014155786484479904
7,63,0.001380576635710895
8,71,0.0012779198586940765
9,79,0.0012595452135428786
10,87,0.0012407390167936683
11,95,0.0012370235053822398
12,103,0.0012357586529105902
13,111,0.00123384699691087
14,119,0.0012337190564721823
15,127,0.0012348608579486609
16,135,0.0012342034606263041
17,143,0.0012304133269935846
18,151,0.0012314978521317244
19,159,0.001229667803272605
20,167,0.0012299774680286646
21,175,0.0012296161148697138
22,183,0.0012297501089051366
23,191,0.0012293531326577067
24,199,0.001233104383572936
25,207,0.0012312304461374879
26,215,0.001227580476552248
27,223,0.0012316603679209948
28,231,0.0012357914820313454
29,239,0.0012294816551730037
30,247,0.0012286475393921137
31,255,0.0012284985277801752
32,263,0.0012287178542464972
33,271,0.0012291166931390762
34,279,0.001231254544109106
35,287,0.0012297328794375062
36,295,0.001229809713549912
37,303,0.001229448476806283
38,311,0.0012272766325622797
39,319,0.001228733453899622
40,327,0.0012280454393476248
41,335,0.0012313853949308395
42,343,0.0012318132212385535
43,351,0.0012284187832847238
44,359,0.0012284646509215236
45,367,0.001227054512128234
46,375,0.001227898639626801
47,383,0.0012285042321309447
48,391,0.0012302782852202654
49,399,0.0012304458068683743
