epoch,step,train_loss
0,3,0.12327338755130768
1,7,0.05753453075885773
2,11,0.030705852434039116
3,15,0.01710430346429348
4,19,0.008393198251724243
5,23,0.009366869926452637
6,27,0.0099056176841259
7,31,0.008767061866819859
8,35,0.0077529107220470905
9,39,0.007522209547460079
10,43,0.00777837261557579
11,47,0.007594933267682791
12,51,0.007362010423094034
13,55,0.007298056967556477
14,59,0.007339085452258587
15,63,0.0072963545098900795
16,67,0.007233818527311087
17,71,0.007188463117927313
18,75,0.007190113887190819
19,79,0.007180679589509964
20,83,0.007169445976614952
21,87,0.007160388398915529
22,91,0.007159574888646603
23,95,0.007169194053858519
24,99,0.00716092623770237
25,103,0.007161516230553389
26,107,0.0071709780022501945
27,111,0.007160925772041082
28,115,0.007148649077862501
29,119,0.007157706655561924
30,123,0.007159889675676823
31,127,0.007154235150665045
32,131,0.007157939486205578
33,135,0.007145890966057777
34,139,0.007142561487853527
35,143,0.007146897725760937
36,147,0.007143334485590458
37,151,0.007139814086258411
38,155,0.007147097960114479
39,159,0.007156818639487028
40,163,0.007147179450839758
41,167,0.007144896313548088
42,171,0.007140094880014658
43,175,0.0071400608867406845
44,179,0.007136932108551264
45,183,0.007140057161450386
46,187,0.007176337298005819
47,191,0.007175436243414879
48,195,0.007139374502003193
49,199,0.007139730267226696
