train_size_waves,dataset_size_samples,asymptotic_relative_energy_error,asymptotic_rmse_or_validation_loss
1,601,0.3039645670961873,0.0003816539041425985
10,6010,0.043423498626345494,1.1486434351473433e-06
25,15025,0.03278269823065239,7.713098003363726e-07
50,30050,0.03260758010240184,7.494541281812536e-07
75,45075,0.03295363397575165,7.540983547532892e-07
