epoch,step,train_loss
0,1,0.16906705498695374
1,3,0.12799072265625
2,5,0.09734192490577698
3,7,0.07718727737665176
4,9,0.0663786455988884
5,11,0.06168884038925171
6,13,0.05801955237984657
7,15,0.052780479192733765
8,17,0.04801793396472931
9,19,0.04611368477344513
10,21,0.04609266296029091
11,23,0.04515242576599121
12,25,0.04381513595581055
13,27,0.04401281103491783
14,29,0.04511064663529396
15,31,0.04501056671142578
16,33,0.04436688870191574
17,35,0.044580042362213135
18,37,0.044439319521188736
19,39,0.043760716915130615
20,41,0.04374360665678978
21,43,0.04412592574954033
22,45,0.0439566932618618
23,47,0.043643295764923096
24,49,0.04365145042538643
25,51,0.04399570822715759
26,53,0.044211357831954956
27,55,0.044114693999290466
28,57,0.04434766247868538
29,59,0.04471822455525398
30,61,0.04485731199383736
31,63,0.04462028667330742
32,65,0.044322408735752106
33,67,0.0440901480615139
34,69,0.043847233057022095
35,71,0.043639712035655975
36,73,0.0435325913131237
37,75,0.04352213069796562
38,77,0.04349054768681526
39,79,0.04344199597835541
40,81,0.043456487357616425
41,83,0.043412089347839355
42,85,0.043317656964063644
43,87,0.04331213980913162
44,89,0.04337669536471367
45,91,0.043355222791433334
46,93,0.043368320912122726
47,95,0.04346004128456116
48,97,0.0435093529522419
49,99,0.04357089102268219
