epoch,step,train_loss
0,3,0.2233009934425354
1,7,0.21197378635406494
2,11,0.21238383650779724
3,15,0.2112787812948227
4,19,0.21148625016212463
5,23,0.2116233855485916
6,27,0.2113717496395111
7,31,0.2109725922346115
8,35,0.21096013486385345
9,39,0.2108980119228363
10,43,0.21071642637252808
11,47,0.21065767109394073
12,51,0.21071353554725647
13,55,0.21070587635040283
14,59,0.21084623038768768
15,63,0.21066826581954956
16,67,0.21073037385940552
17,71,0.21065519750118256
18,75,0.2106585055589676
19,79,0.21057634055614471
20,83,0.2107824683189392
21,87,0.21075570583343506
22,91,0.21044868230819702
23,95,0.21042273938655853
24,99,0.21045032143592834
25,103,0.21042291820049286
26,107,0.2103731483221054
27,111,0.21038442850112915
28,115,0.2104063481092453
29,119,0.21072600781917572
30,123,0.21074402332305908
31,127,0.2108539193868637
32,131,0.21024031937122345
33,135,0.21025711297988892
34,139,0.210415780544281
35,143,0.2106960415840149
36,147,0.21021468937397003
37,151,0.21010419726371765
38,155,0.21027512848377228
39,159,0.21034766733646393
40,163,0.21008506417274475
41,167,0.21028287708759308
42,171,0.20989976823329926
43,175,0.2103268802165985
44,179,0.21033906936645508
45,183,0.21011514961719513
46,187,0.20994555950164795
47,191,0.20980460941791534
48,195,0.2104729413986206
49,199,0.2103889286518097
