epoch,step,train_loss
0,3,0.016134420409798622
1,7,0.009688477031886578
2,11,0.008273500017821789
3,15,0.0078735938295722
4,19,0.008018109016120434
5,23,0.00748138502240181
6,27,0.007631625048816204
7,31,0.007464249152690172
8,35,0.00745289446786046
9,39,0.0074699376709759235
10,43,0.007392531260848045
11,47,0.007409716956317425
12,51,0.0073900483548641205
13,55,0.007385652046650648
14,59,0.007374252658337355
15,63,0.00737012131139636
16,67,0.007375589571893215
17,71,0.007368904538452625
18,75,0.007370352279394865
19,79,0.007362201809883118
20,83,0.007362095173448324
21,87,0.007358029950410128
22,91,0.007358068600296974
23,95,0.007356734946370125
24,99,0.007359555456787348
25,103,0.00735857617110014
26,107,0.00735845323652029
27,111,0.007362896576523781
28,115,0.007363243494182825
29,119,0.007356820162385702
30,123,0.007350947707891464
31,127,0.007356398273259401
32,131,0.007351134438067675
33,135,0.007349440362304449
34,139,0.007354801520705223
35,143,0.00735263479873538
36,147,0.007346596568822861
37,151,0.007349384482949972
38,155,0.007359001785516739
39,159,0.0073471455834805965
40,163,0.007347911596298218
41,167,0.007352105341851711
42,171,0.0073388610035181046
43,175,0.0073464070446789265
44,179,0.0073502324521541595
45,183,0.007333212066441774
46,187,0.007348679471760988
47,191,0.007347555831074715
48,195,0.007335416506975889
49,199,0.007343994453549385
