epoch,step,train_loss_epoch,train_loss_step
0,0,0.13600578904151917,
1,1,0.12247943133115768,
2,2,0.12748873233795166,
3,3,0.1258344203233719,
4,4,0.12221170216798782,
5,5,0.12182023376226425,
6,6,0.12330850213766098,
7,7,0.1233360692858696,
8,8,0.12190458178520203,
9,9,0.12071018666028976,
10,10,0.12079334259033203,
11,11,0.12148084491491318,
12,12,0.12152496725320816,
13,13,0.12088528275489807,
14,14,0.1203170120716095,
15,15,0.12029784917831421,
16,16,0.12053319066762924,
17,17,0.12046699970960617,
18,18,0.12006600946187973,
19,19,0.11975036561489105,
20,20,0.11980372667312622,
21,21,0.11993948370218277,
22,22,0.11987360566854477,
23,23,0.11966337263584137,
24,24,0.11953835189342499,
25,25,0.1195397675037384,
26,26,0.11951690912246704,
27,27,0.11940401047468185,
28,28,0.11929403990507126,
29,29,0.11925680935382843,
30,30,0.1192423403263092,
31,31,0.1191786453127861,
32,32,0.11907894909381866,
33,33,0.119016133248806,
34,34,0.11899496614933014,
35,35,0.11893898248672485,
36,36,0.11883950978517532,
37,37,0.11877063661813736,
38,38,0.11874774098396301,
39,39,0.11868055164813995,
40,40,0.11852709203958511,
41,41,0.11845695227384567,
42,42,0.11844532936811447,
43,43,0.11841627210378647,
44,44,0.11833878606557846,
45,45,0.11827397346496582,
46,46,0.11824610084295273,
47,47,0.1182035282254219,
48,48,0.11812710016965866,
49,49,,0.11805761605501175
49,49,0.11805761605501175,
