epoch,step,train_loss
0,3,0.11089774966239929
1,7,0.050966545939445496
2,11,0.03594869747757912
3,15,0.020273538306355476
4,19,0.013460865244269371
5,23,0.00817827507853508
6,27,0.008824463933706284
7,31,0.009065650403499603
8,35,0.009130040183663368
9,39,0.008081117644906044
10,43,0.007395307999104261
11,47,0.007534834556281567
12,51,0.007469766773283482
13,55,0.007495187688618898
14,59,0.007351645268499851
15,63,0.007230970077216625
16,67,0.007229195442050695
17,71,0.00724954204633832
18,75,0.007225554436445236
19,79,0.007191121112555265
20,83,0.007184869609773159
21,87,0.0071823070757091045
22,91,0.007200364489108324
23,95,0.007208032999187708
24,99,0.0071859401650726795
25,103,0.007165806367993355
26,107,0.007175983861088753
27,111,0.007204776629805565
28,115,0.007201420143246651
29,119,0.007182397413998842
30,123,0.00716874236240983
31,127,0.007168608717620373
32,131,0.007166487164795399
33,135,0.007165121380239725
34,139,0.0071619534865021706
35,143,0.00716007873415947
36,147,0.007170915603637695
37,151,0.0071665942668914795
38,155,0.007164886686950922
39,159,0.007155457511544228
40,163,0.007153185084462166
41,167,0.0071546160615980625
42,171,0.007153491489589214
43,175,0.007151336874812841
44,179,0.0071515669114887714
45,183,0.007177961058914661
46,187,0.007191465701907873
47,191,0.007175740785896778
48,195,0.0071579162031412125
49,199,0.007156516425311565
