"Step","train_mp3 - val_mean_loss_step","train_mp3 - val_mean_loss_step__MIN","train_mp3 - val_mean_loss_step__MAX","train_mp2 - val_mean_loss_step","train_mp2 - val_mean_loss_step__MIN","train_mp2 - val_mean_loss_step__MAX"
"1897","0.013049471192061901","0.013049471192061901","0.013049471192061901","0.014163950458168983","0.014163950458168983","0.014163950458168983"
"1898","0.012780435383319855","0.012780435383319855","0.012780435383319855","0.01071742083877325","0.01071742083877325","0.01071742083877325"
"1900","0.010180025361478329","0.010180025361478329","0.010180025361478329","0.009344182908535004","0.009344182908535004","0.009344182908535004"
"1901","0.008998602628707886","0.008998602628707886","0.008998602628707886","0.00840210635215044","0.00840210635215044","0.00840210635215044"
"1902","0.00825315248221159","0.00825315248221159","0.00825315248221159","0.008747308515012264","0.008747308515012264","0.008747308515012264"
"1904","0.007338529918342829","0.007338529918342829","0.007338529918342829","0.007089476566761732","0.007089476566761732","0.007089476566761732"
"1905","0.0071882340125739574","0.0071882340125739574","0.0071882340125739574","0.007212878670543432","0.007212878670543432","0.007212878670543432"
"1906","0.006745195481926203","0.006745195481926203","0.006745195481926203","0.006191370543092489","0.006191370543092489","0.006191370543092489"
"1908","0.007609290536493063","0.007609290536493063","0.007609290536493063","0.007506467401981354","0.007506467401981354","0.007506467401981354"
"1911","0.007545726839452982","0.007545726839452982","0.007545726839452982","0.00753974262624979","0.00753974262624979","0.00753974262624979"
"1913","0.008049177937209606","0.008049177937209606","0.008049177937209606","0.007548101246356964","0.007548101246356964","0.007548101246356964"
"1914","0.007563936989754438","0.007563936989754438","0.007563936989754438","0.007398781832307577","0.007398781832307577","0.007398781832307577"
"1915","0.008145609870553017","0.008145609870553017","0.008145609870553017","0.007635712157934904","0.007635712157934904","0.007635712157934904"
"1916","0.00827578455209732","0.00827578455209732","0.00827578455209732","0.00809340737760067","0.00809340737760067","0.00809340737760067"
"1917","0.0074162655510008335","0.0074162655510008335","0.0074162655510008335","0.00709369033575058","0.00709369033575058","0.00709369033575058"
"1918","0.0083236712962389","0.0083236712962389","0.0083236712962389","0.007696899119764566","0.007696899119764566","0.007696899119764566"
"1922","0.00797932781279087","0.00797932781279087","0.00797932781279087","0.00827798992395401","0.00827798992395401","0.00827798992395401"
