"Step","train_mp3 - val_batch_energy_rel_error","train_mp3 - val_batch_energy_rel_error__MIN","train_mp3 - val_batch_energy_rel_error__MAX","train_mp2 - val_batch_energy_rel_error","train_mp2 - val_batch_energy_rel_error__MIN","train_mp2 - val_batch_energy_rel_error__MAX"
"1897","0.22093892097473145","0.22093892097473145","0.22093892097473145","0.36933615803718567","0.36933615803718567","0.36933615803718567"
"1898","0.18480533361434937","0.18480533361434937","0.18480533361434937","0.36693963408470154","0.36693963408470154","0.36693963408470154"
"1900","0.19215302169322968","0.19215302169322968","0.19215302169322968","0.49658840894699097","0.49658840894699097","0.49658840894699097"
"1901","0.13586843013763428","0.13586843013763428","0.13586843013763428","0.45489808917045593","0.45489808917045593","0.45489808917045593"
"1902","0.151604562997818","0.151604562997818","0.151604562997818","0.4230145215988159","0.4230145215988159","0.4230145215988159"
"1904","0.1380142718553543","0.1380142718553543","0.1380142718553543","0.2530651092529297","0.2530651092529297","0.2530651092529297"
"1905","0.13046057522296906","0.13046057522296906","0.13046057522296906","0.19361372292041779","0.19361372292041779","0.19361372292041779"
"1906","0.12533573806285858","0.12533573806285858","0.12533573806285858","0.15472623705863953","0.15472623705863953","0.15472623705863953"
"1908","0.1169852539896965","0.1169852539896965","0.1169852539896965","0.167079359292984","0.167079359292984","0.167079359292984"
"1911","0.11579792201519012","0.11579792201519012","0.11579792201519012","0.1622077226638794","0.1622077226638794","0.1622077226638794"
"1913","0.11975856870412827","0.11975856870412827","0.11975856870412827","0.16902689635753632","0.16902689635753632","0.16902689635753632"
"1914","0.11284108459949493","0.11284108459949493","0.11284108459949493","0.16341789066791534","0.16341789066791534","0.16341789066791534"
"1915","0.12470231205224991","0.12470231205224991","0.12470231205224991","0.16088514029979706","0.16088514029979706","0.16088514029979706"
"1916","0.12631742656230927","0.12631742656230927","0.12631742656230927","0.18318140506744385","0.18318140506744385","0.18318140506744385"
"1917","0.11316455900669098","0.11316455900669098","0.11316455900669098","0.1584552824497223","0.1584552824497223","0.1584552824497223"
"1918","0.1256016492843628","0.1256016492843628","0.1256016492843628","0.1700448989868164","0.1700448989868164","0.1700448989868164"
"1922","0.1183941587805748","0.1183941587805748","0.1183941587805748","0.17872250080108643","0.17872250080108643","0.17872250080108643"
"1923","0.1219966784119606","0.1219966784119606","0.1219966784119606","0.18202334642410278","0.18202334642410278","0.18202334642410278"
"1924","0.1112123429775238","0.1112123429775238","0.1112123429775238","0.16677109897136688","0.16677109897136688","0.16677109897136688"
"1925","0.11478040367364883","0.11478040367364883","0.11478040367364883","0.18273818492889404","0.18273818492889404","0.18273818492889404"
"1928","0.11737696826457977","0.11737696826457977","0.11737696826457977","0.2074679285287857","0.2074679285287857","0.2074679285287857"
"1930","0.11108574271202087","0.11108574271202087","0.11108574271202087","0.20312461256980896","0.20312461256980896","0.20312461256980896"
"1931","0.13640084862709045","0.13640084862709045","0.13640084862709045","0.26417112350463867","0.26417112350463867","0.26417112350463867"
"1932","0.12652850151062012","0.12652850151062012","0.12652850151062012","0.2351149022579193","0.2351149022579193","0.2351149022579193"
"1933","0.14485497772693634","0.14485497772693634","0.14485497772693634","0.3147011399269104","0.3147011399269104","0.3147011399269104"
"1936","0.1651766002178192","0.1651766002178192","0.1651766002178192","0.3986530005931854","0.3986530005931854","0.3986530005931854"
"1937","0.22495341300964355","0.22495341300964355","0.22495341300964355","0.4282022714614868","0.4282022714614868","0.4282022714614868"
"1939","0.2259063720703125","0.2259063720703125","0.2259063720703125","0.3474252223968506","0.3474252223968506","0.3474252223968506"
"1941","0.40036797523498535","0.40036797523498535","0.40036797523498535","0.1671794056892395","0.1671794056892395","0.1671794056892395"
"1942","0.28702226281166077","0.28702226281166077","0.28702226281166077","0.16119304299354553","0.16119304299354553","0.16119304299354553"
"1943","0.23452416062355042","0.23452416062355042","0.23452416062355042","0.14713463187217712","0.14713463187217712","0.14713463187217712"
"1945","0.17569667100906372","0.17569667100906372","0.17569667100906372","0.13091951608657837","0.13091951608657837","0.13091951608657837"
"1947","0.15241138637065887","0.15241138637065887","0.15241138637065887","0.1318151205778122","0.1318151205778122","0.1318151205778122"
"1948","0.14463379979133606","0.14463379979133606","0.14463379979133606","0.1225416287779808","0.1225416287779808","0.1225416287779808"
"1949","0.13087356090545654","0.13087356090545654","0.13087356090545654","0.11744923144578934","0.11744923144578934","0.11744923144578934"
"1950","0.1265382319688797","0.1265382319688797","0.1265382319688797","0.11112555861473083","0.11112555861473083","0.11112555861473083"
"1951","0.12359610199928284","0.12359610199928284","0.12359610199928284","0.12126877903938293","0.12126877903938293","0.12126877903938293"
"1953","0.11888650804758072","0.11888650804758072","0.11888650804758072","0.12393973767757416","0.12393973767757416","0.12393973767757416"
"1954","0.11762671917676926","0.11762671917676926","0.11762671917676926","0.1329335868358612","0.1329335868358612","0.1329335868358612"
"1955","0.12070635706186295","0.12070635706186295","0.12070635706186295","0.14068570733070374","0.14068570733070374","0.14068570733070374"
"1956","0.10839661955833435","0.10839661955833435","0.10839661955833435","0.1410514861345291","0.1410514861345291","0.1410514861345291"
"1959","0.11044668406248093","0.11044668406248093","0.11044668406248093","0.16630053520202637","0.16630053520202637","0.16630053520202637"
"1960","0.1147015243768692","0.1147015243768692","0.1147015243768692","0.17431612312793732","0.17431612312793732","0.17431612312793732"
"1963","0.10394588112831116","0.10394588112831116","0.10394588112831116","0.1803380250930786","0.1803380250930786","0.1803380250930786"
"1964","0.09293127804994583","0.09293127804994583","0.09293127804994583","0.19031094014644623","0.19031094014644623","0.19031094014644623"
"1965","0.09493426233530045","0.09493426233530045","0.09493426233530045","0.1830209493637085","0.1830209493637085","0.1830209493637085"
"1966","0.09761428087949753","0.09761428087949753","0.09761428087949753","0.2108590304851532","0.2108590304851532","0.2108590304851532"
"1967","0.07908536493778229","0.07908536493778229","0.07908536493778229","0.18367837369441986","0.18367837369441986","0.18367837369441986"
"1968","0.09292862564325333","0.09292862564325333","0.09292862564325333","0.205356627702713","0.205356627702713","0.205356627702713"
"1969","0.07838451117277145","0.07838451117277145","0.07838451117277145","0.1940341591835022","0.1940341591835022","0.1940341591835022"
"1970","0.07559293508529663","0.07559293508529663","0.07559293508529663","0.2003684639930725","0.2003684639930725","0.2003684639930725"
