"Step","train_mp3 - train_loss_step","train_mp3 - train_loss_step__MIN","train_mp3 - train_loss_step__MAX","train_mp2 - train_loss_step","train_mp2 - train_loss_step__MIN","train_mp2 - train_loss_step__MAX"
"77","0.0006397929973900318","0.0006397929973900318","0.0006397929973900318","0.0006106509827077389","0.0006106509827077389","0.0006106509827077389"
"123","0.00025862030452117324","0.00025862030452117324","0.00025862030452117324","0.00035888340789824724","0.00035888340789824724","0.00035888340789824724"
"155","0.00011456446372903883","0.00011456446372903883","0.00011456446372903883","0.00019342557061463594","0.00019342557061463594","0.00019342557061463594"
"158","0.00010054933954961598","0.00010054933954961598","0.00010054933954961598","0.00012973023694939911","0.00012973023694939911","0.00012973023694939911"
"168","0.0001291297230636701","0.0001291297230636701","0.0001291297230636701","0.00014319890760816634","0.00014319890760816634","0.00014319890760816634"
"189","0.0000815137755125761","0.0000815137755125761","0.0000815137755125761","0.000177445646841079","0.000177445646841079","0.000177445646841079"
"270","0.00013793172547593713","0.00013793172547593713","0.00013793172547593713","0.0000916787757887505","0.0000916787757887505","0.0000916787757887505"
"282","0.00009401122952112928","0.00009401122952112928","0.00009401122952112928","0.00005382407834986225","0.00005382407834986225","0.00005382407834986225"
"305","0.00005644209522870369","0.00005644209522870369","0.00005644209522870369","0.00005435101775219664","0.00005435101775219664","0.00005435101775219664"
"309","0.000059312820667400956","0.000059312820667400956","0.000059312820667400956","0.00006308601587079465","0.00006308601587079465","0.00006308601587079465"
"322","0.000040128168620867655","0.000040128168620867655","0.000040128168620867655","0.00008410973532591015","0.00008410973532591015","0.00008410973532591015"
"341","0.00007778637518640608","0.00007778637518640608","0.00007778637518640608","0.00007868783723097295","0.00007868783723097295","0.00007868783723097295"
"393","0.000027614509235718288","0.000027614509235718288","0.000027614509235718288","0.00004344834451330826","0.00004344834451330826","0.00004344834451330826"
"434","0.000047772286052349955","0.000047772286052349955","0.000047772286052349955","0.000043736290535889566","0.000043736290535889566","0.000043736290535889566"
"481","0.00004387663648230955","0.00004387663648230955","0.00004387663648230955","0.00003881545490003191","0.00003881545490003191","0.00003881545490003191"
"519","0.00004201586853014305","0.00004201586853014305","0.00004201586853014305","0.00004034861922264099","0.00004034861922264099","0.00004034861922264099"
"538","0.00005631639942293987","0.00005631639942293987","0.00005631639942293987","0.000023754473659209907","0.000023754473659209907","0.000023754473659209907"
"617","0.00006701496022287756","0.00006701496022287756","0.00006701496022287756","0.00008674574200995266","0.00008674574200995266","0.00008674574200995266"
"656","0.00007916801405372098","0.00007916801405372098","0.00007916801405372098","0.00005205858906265348","0.00005205858906265348","0.00005205858906265348"
"756","0.00003485227352939546","0.00003485227352939546","0.00003485227352939546","0.000036622732295654714","0.000036622732295654714","0.000036622732295654714"
"767","0.000020429371943464503","0.000020429371943464503","0.000020429371943464503","0.000027550280719879083","0.000027550280719879083","0.000027550280719879083"
"793","0.000024452430807286873","0.000024452430807286873","0.000024452430807286873","0.00001897534639283549","0.00001897534639283549","0.00001897534639283549"
"811","0.00009197121107717976","0.00009197121107717976","0.00009197121107717976","0.0000315257566398941","0.0000315257566398941","0.0000315257566398941"
"926","0.000010716475117078517","0.000010716475117078517","0.000010716475117078517","0.00006336889782687649","0.00006336889782687649","0.00006336889782687649"
"952","0.000020744671928696334","0.000020744671928696334","0.000020744671928696334","0.00005346919351723045","0.00005346919351723045","0.00005346919351723045"
"969","0.0000663804094074294","0.0000663804094074294","0.0000663804094074294","0.000021146814106032252","0.000021146814106032252","0.000021146814106032252"
"1002","0.000027717576813302003","0.000027717576813302003","0.000027717576813302003","0.000016178531950572506","0.000016178531950572506","0.000016178531950572506"
"1025","0.000027829060854855925","0.000027829060854855925","0.000027829060854855925","0.00006095698336139321","0.00006095698336139321","0.00006095698336139321"
"1054","0.00004555949635687284","0.00004555949635687284","0.00004555949635687284","0.000017809552446124144","0.000017809552446124144","0.000017809552446124144"
"1071","0.000034823959140339866","0.000034823959140339866","0.000034823959140339866","0.000023113774659577757","0.000023113774659577757","0.000023113774659577757"
"1079","0.00001417610837961547","0.00001417610837961547","0.00001417610837961547","0.00005616846101474948","0.00005616846101474948","0.00005616846101474948"
