epoch,step,train_loss_epoch,train_loss_step
0,0,0.10604237020015717,
1,1,0.08926048129796982,
2,2,0.08302765339612961,
3,3,0.08538594841957092,
4,4,0.08706290274858475,
5,5,0.08615413308143616,
6,6,0.08402425795793533,
7,7,0.0820668488740921,
8,8,0.08151426166296005,
9,9,0.08238446712493896,
10,10,0.0832991674542427,
11,11,0.083393894135952,
12,12,0.08274692296981812,
13,13,0.0818200334906578,
14,14,0.08114966750144958,
15,15,0.08104307949542999,
16,16,0.08134808391332626,
17,17,0.08164901286363602,
18,18,0.08170751482248306,
19,19,0.08149676769971848,
20,20,0.08114581555128098,
21,21,0.08084414899349213,
22,22,0.0807061567902565,
23,23,0.08073487132787704,
24,24,0.08083369582891464,
25,25,0.08087658137083054,
26,26,0.08079151809215546,
27,27,0.08060786873102188,
28,28,0.08042699843645096,
29,29,0.08033338934183121,
30,30,0.08033766597509384,
31,31,0.08038222044706345,
32,32,0.08038748055696487,
33,33,0.08031248301267624,
34,34,0.08018524199724197,
35,35,0.08007066696882248,
36,36,0.08001121133565903,
37,37,0.07999365776777267,
38,38,0.07997290790081024,
39,39,0.0799153596162796,
40,40,0.07981785386800766,
41,41,0.07971010357141495,
42,42,0.07965339720249176,
43,43,0.07962658256292343,
44,44,0.07958915829658508,
45,45,0.07950993627309799,
46,46,0.07940782606601715,
47,47,0.07933612912893295,
48,48,0.07927747815847397,
49,49,,0.07922647148370743
49,49,0.07922647148370743,
