"epoch","train_100 - val_energy_rel_error_rollout1","train_100 - val_energy_rel_error_rollout1__MIN","train_100 - val_energy_rel_error_rollout1__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - val_energy_rel_error_rollout1","train_75 - val_energy_rel_error_rollout1__MIN","train_75 - val_energy_rel_error_rollout1__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - val_energy_rel_error_rollout1","train_50 - val_energy_rel_error_rollout1__MIN","train_50 - val_energy_rel_error_rollout1__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - val_energy_rel_error_rollout1","train_25 - val_energy_rel_error_rollout1__MIN","train_25 - val_energy_rel_error_rollout1__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - val_energy_rel_error_rollout1","train_10 - val_energy_rel_error_rollout1__MIN","train_10 - val_energy_rel_error_rollout1__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"38","0.00809148047119379","0.00809148047119379","0.00809148047119379","72992","72992","72992","0.012812870554625988","0.012812870554625988","0.012812870554625988","54818","54818","54818","0.016595173627138138","0.016595173627138138","0.016595173627138138","36683","36683","36683","0.017570776864886284","0.017570776864886284","0.017570776864886284","18509","18509","18509","0.027303950861096382","0.027303950861096382","0.027303950861096382","7628","7628","7628"
"39","0.01717468723654747","0.01717468723654747","0.01717468723654747","74863","74863","74863","0.01644437201321125","0.01644437201321125","0.01644437201321125","56223","56223","56223","0.01663985848426819","0.01663985848426819","0.01663985848426819","37623","37623","37623","0.0159065593034029","0.0159065593034029","0.0159065593034029","18983","18983","18983","0.027328945696353912","0.027328945696353912","0.027328945696353912","7823","7823","7823"
"40","0.011191739700734615","0.011191739700734615","0.011191739700734615","76739","76739","76739","0.012911629863083363","0.012911629863083363","0.012911629863083363","57633","57633","57633","0.01233204547315836","0.01233204547315836","0.01233204547315836","38568","38568","38568","0.010075793601572514","0.010075793601572514","0.010075793601572514","19462","19462","19462","0.027980512008070946","0.027980512008070946","0.027980512008070946","8023","8023","8023"
"41","0.007373929489403963","0.007373929489403963","0.007373929489403963","78610","78610","78610","0.008315875194966793","0.008315875194966793","0.008315875194966793","59038","59038","59038","0.014132603071630001","0.014132603071630001","0.014132603071630001","39508","39508","39508","0.010212545283138752","0.010212545283138752","0.010212545283138752","19936","19936","19936","0.025308622047305107","0.025308622047305107","0.025308622047305107","8218","8218","8218"
"42","0.007949785329401493","0.007949785329401493","0.007949785329401493","80481","80481","80481","0.010533290915191174","0.010533290915191174","0.010533290915191174","60443","60443","60443","0.00883923564106226","0.00883923564106226","0.00883923564106226","40448","40448","40448","0.00976472720503807","0.00976472720503807","0.00976472720503807","20410","20410","20410","0.02022351324558258","0.02022351324558258","0.02022351324558258","8413","8413","8413"
"43","0.005661477334797382","0.005661477334797382","0.005661477334797382","82352","82352","82352","0.007925697602331638","0.007925697602331638","0.007925697602331638","61848","61848","61848","0.00655599357560277","0.00655599357560277","0.00655599357560277","41388","41388","41388","0.014255981892347336","0.014255981892347336","0.014255981892347336","20884","20884","20884","0.02904347889125347","0.02904347889125347","0.02904347889125347","8608","8608","8608"
"44","0.0054582287557423115","0.0054582287557423115","0.0054582287557423115","84223","84223","84223","0.009553411044180393","0.009553411044180393","0.009553411044180393","63253","63253","63253","0.012686066329479218","0.012686066329479218","0.012686066329479218","42328","42328","42328","0.017290852963924408","0.017290852963924408","0.017290852963924408","21358","21358","21358","0.01861313357949257","0.01861313357949257","0.01861313357949257","8803","8803","8803"
"45","0.009890611283481121","0.009890611283481121","0.009890611283481121","86094","86094","86094","0.013735394924879074","0.013735394924879074","0.013735394924879074","64658","64658","64658","0.014928017742931843","0.014928017742931843","0.014928017742931843","43268","43268","43268","0.012074829079210758","0.012074829079210758","0.012074829079210758","21832","21832","21832","0.01750926859676838","0.01750926859676838","0.01750926859676838","8998","8998","8998"
"46","0.008860746398568153","0.008860746398568153","0.008860746398568153","87965","87965","87965","0.007612981367856264","0.007612981367856264","0.007612981367856264","66063","66063","66063","0.008869693614542484","0.008869693614542484","0.008869693614542484","44208","44208","44208","0.008481569588184357","0.008481569588184357","0.008481569588184357","22306","22306","22306","0.03514200076460838","0.03514200076460838","0.03514200076460838","9193","9193","9193"
"47","0.007155898492783308","0.007155898492783308","0.007155898492783308","89836","89836","89836","0.005339723080396652","0.005339723080396652","0.005339723080396652","67468","67468","67468","0.012628335505723953","0.012628335505723953","0.012628335505723953","45148","45148","45148","0.021622803062200546","0.021622803062200546","0.021622803062200546","22780","22780","22780","0.03015434741973877","0.03015434741973877","0.03015434741973877","9388","9388","9388"
"48","0.010794708505272865","0.010794708505272865","0.010794708505272865","91707","91707","91707","0.011158532463014126","0.011158532463014126","0.011158532463014126","68873","68873","68873","0.011643136851489544","0.011643136851489544","0.011643136851489544","46088","46088","46088","0.012679189443588257","0.012679189443588257","0.012679189443588257","23254","23254","23254","0.026398932561278343","0.026398932561278343","0.026398932561278343","9583","9583","9583"
"49","0.011651243083178997","0.011651243083178997","0.011651243083178997","93578","93578","93578","0.008080162107944489","0.008080162107944489","0.008080162107944489","70278","70278","70278","0.010451585054397583","0.010451585054397583","0.010451585054397583","47028","47028","47028","0.011451929807662964","0.011451929807662964","0.011451929807662964","23728","23728","23728","0.035736650228500366","0.035736650228500366","0.035736650228500366","9778","9778","9778"
"50","0.00928531028330326","0.00928531028330326","0.00928531028330326","95454","95454","95454","0.009716772474348545","0.009716772474348545","0.009716772474348545","71688","71688","71688","0.009060890413820744","0.009060890413820744","0.009060890413820744","47973","47973","47973","0.016959937289357185","0.016959937289357185","0.016959937289357185","24207","24207","24207","0.018971631303429604","0.018971631303429604","0.018971631303429604","9978","9978","9978"
"51","0.010389312170445919","0.010389312170445919","0.010389312170445919","97325","97325","97325","0.0157140102237463","0.0157140102237463","0.0157140102237463","73093","73093","73093","0.01881289668381214","0.01881289668381214","0.01881289668381214","48913","48913","48913","0.018155895173549652","0.018155895173549652","0.018155895173549652","24681","24681","24681","0.024826301261782646","0.024826301261782646","0.024826301261782646","10173","10173","10173"
"52","0.009794913232326508","0.009794913232326508","0.009794913232326508","99196","99196","99196","0.006530947517603636","0.006530947517603636","0.006530947517603636","74498","74498","74498","0.010098455473780632","0.010098455473780632","0.010098455473780632","49853","49853","49853","0.01125800609588623","0.01125800609588623","0.01125800609588623","25155","25155","25155","0.013179833069443703","0.013179833069443703","0.013179833069443703","10368","10368","10368"
"53","0.006311250850558281","0.006311250850558281","0.006311250850558281","101067","101067","101067","0.011963537894189358","0.011963537894189358","0.011963537894189358","75903","75903","75903","0.010939446277916431","0.010939446277916431","0.010939446277916431","50793","50793","50793","0.009821130894124508","0.009821130894124508","0.009821130894124508","25629","25629","25629","0.019375570118427277","0.019375570118427277","0.019375570118427277","10563","10563","10563"
"54","0.014177089557051659","0.014177089557051659","0.014177089557051659","102938","102938","102938","0.006730338092893362","0.006730338092893362","0.006730338092893362","77308","77308","77308","0.01269835326820612","0.01269835326820612","0.01269835326820612","51733","51733","51733","0.011522917076945305","0.011522917076945305","0.011522917076945305","26103","26103","26103","0.02845890074968338","0.02845890074968338","0.02845890074968338","10758","10758","10758"
"55","0.0063404543325304985","0.0063404543325304985","0.0063404543325304985","104809","104809","104809","0.006406289059668779","0.006406289059668779","0.006406289059668779","78713","78713","78713","0.013853345066308975","0.013853345066308975","0.013853345066308975","52673","52673","52673","0.011821413412690163","0.011821413412690163","0.011821413412690163","26577","26577","26577","0.024951953440904617","0.024951953440904617","0.024951953440904617","10953","10953","10953"
"56","0.012442086823284626","0.012442086823284626","0.012442086823284626","106680","106680","106680","0.009730582125484943","0.009730582125484943","0.009730582125484943","80118","80118","80118","0.008464183658361435","0.008464183658361435","0.008464183658361435","53613","53613","53613","0.01056880597025156","0.01056880597025156","0.01056880597025156","27051","27051","27051","0.021695949137210846","0.021695949137210846","0.021695949137210846","11148","11148","11148"
"57","0.00600044708698988","0.00600044708698988","0.00600044708698988","108551","108551","108551","0.007301069796085358","0.007301069796085358","0.007301069796085358","81523","81523","81523","0.008194920606911182","0.008194920606911182","0.008194920606911182","54553","54553","54553","0.014948686584830284","0.014948686584830284","0.014948686584830284","27525","27525","27525","0.023763736709952354","0.023763736709952354","0.023763736709952354","11343","11343","11343"
"58","0.009122784249484539","0.009122784249484539","0.009122784249484539","110422","110422","110422","0.007319514639675617","0.007319514639675617","0.007319514639675617","82928","82928","82928","0.012276338413357735","0.012276338413357735","0.012276338413357735","55493","55493","55493","0.009761602617800236","0.009761602617800236","0.009761602617800236","27999","27999","27999","0.016694732010364532","0.016694732010364532","0.016694732010364532","11538","11538","11538"
"59","0.008308944292366505","0.008308944292366505","0.008308944292366505","112293","112293","112293","0.0054415138438344","0.0054415138438344","0.0054415138438344","84333","84333","84333","0.0050574420019984245","0.0050574420019984245","0.0050574420019984245","56433","56433","56433","0.018744096159934998","0.018744096159934998","0.018744096159934998","28473","28473","28473","0.025385767221450806","0.025385767221450806","0.025385767221450806","11733","11733","11733"
"60","0.0062002805061638355","0.0062002805061638355","0.0062002805061638355","114169","114169","114169","0.009081488475203514","0.009081488475203514","0.009081488475203514","85743","85743","85743","0.007679411675781012","0.007679411675781012","0.007679411675781012","57378","57378","57378","0.011914032511413097","0.011914032511413097","0.011914032511413097","28952","28952","28952","0.020535416901111603","0.020535416901111603","0.020535416901111603","11933","11933","11933"
"61","0.012423249892890453","0.012423249892890453","0.012423249892890453","116040","116040","116040","0.007562209386378527","0.007562209386378527","0.007562209386378527","87148","87148","87148","0.00694826478138566","0.00694826478138566","0.00694826478138566","58318","58318","58318","0.014661808498203754","0.014661808498203754","0.014661808498203754","29426","29426","29426","0.023383701220154762","0.023383701220154762","0.023383701220154762","12128","12128","12128"
"62","0.008317302912473679","0.008317302912473679","0.008317302912473679","117911","117911","117911","0.006981085520237684","0.006981085520237684","0.006981085520237684","88553","88553","88553","0.011078611947596073","0.011078611947596073","0.011078611947596073","59258","59258","59258","0.011511655524373055","0.011511655524373055","0.011511655524373055","29900","29900","29900","0.01740947924554348","0.01740947924554348","0.01740947924554348","12323","12323","12323"
"63","0.008175465278327465","0.008175465278327465","0.008175465278327465","119782","119782","119782","0.011514335870742798","0.011514335870742798","0.011514335870742798","89958","89958","89958","0.011383353732526302","0.011383353732526302","0.011383353732526302","60198","60198","60198","0.009929539635777473","0.009929539635777473","0.009929539635777473","30374","30374","30374","0.024356115609407425","0.024356115609407425","0.024356115609407425","12518","12518","12518"
"64","0.007821019738912582","0.007821019738912582","0.007821019738912582","121653","121653","121653","0.006024746689945459","0.006024746689945459","0.006024746689945459","91363","91363","91363","0.009569658897817135","0.009569658897817135","0.009569658897817135","61138","61138","61138","0.012484230101108551","0.012484230101108551","0.012484230101108551","30848","30848","30848","0.025627458468079567","0.025627458468079567","0.025627458468079567","12713","12713","12713"
"65","0.004293120466172695","0.004293120466172695","0.004293120466172695","123524","123524","123524","0.007569147273898125","0.007569147273898125","0.007569147273898125","92768","92768","92768","0.007158433552831411","0.007158433552831411","0.007158433552831411","62078","62078","62078","0.010957669466733932","0.010957669466733932","0.010957669466733932","31322","31322","31322","0.02219773456454277","0.02219773456454277","0.02219773456454277","12908","12908","12908"
"66","0.008006413467228413","0.008006413467228413","0.008006413467228413","125395","125395","125395","0.01656120829284191","0.01656120829284191","0.01656120829284191","94173","94173","94173","0.01643943041563034","0.01643943041563034","0.01643943041563034","63018","63018","63018","0.0162303876131773","0.0162303876131773","0.0162303876131773","31796","31796","31796","0.02492477186024189","0.02492477186024189","0.02492477186024189","13103","13103","13103"
"67","0.01006778609007597","0.01006778609007597","0.01006778609007597","127266","127266","127266","0.010493392124772072","0.010493392124772072","0.010493392124772072","95578","95578","95578","0.006199810188263655","0.006199810188263655","0.006199810188263655","63958","63958","63958","0.014843692071735859","0.014843692071735859","0.014843692071735859","32270","32270","32270","0.017192907631397247","0.017192907631397247","0.017192907631397247","13298","13298","13298"
"68","0.005643779411911964","0.005643779411911964","0.005643779411911964","129137","129137","129137","0.006553393788635731","0.006553393788635731","0.006553393788635731","96983","96983","96983","0.013918544165790081","0.013918544165790081","0.013918544165790081","64898","64898","64898","0.009001154452562332","0.009001154452562332","0.009001154452562332","32744","32744","32744","0.02424190193414688","0.02424190193414688","0.02424190193414688","13493","13493","13493"
"69","0.018053846433758736","0.018053846433758736","0.018053846433758736","131008","131008","131008","0.010476709343492985","0.010476709343492985","0.010476709343492985","98388","98388","98388","0.006875368766486645","0.006875368766486645","0.006875368766486645","65838","65838","65838","0.015058719553053379","0.015058719553053379","0.015058719553053379","33218","33218","33218","0.03994572162628174","0.03994572162628174","0.03994572162628174","13688","13688","13688"
