"epoch","train_100 - train_loss_epoch","train_100 - train_loss_epoch__MIN","train_100 - train_loss_epoch__MAX","train_100 - _step","train_100 - _step__MIN","train_100 - _step__MAX","train_75 - train_loss_epoch","train_75 - train_loss_epoch__MIN","train_75 - train_loss_epoch__MAX","train_75 - _step","train_75 - _step__MIN","train_75 - _step__MAX","train_50 - train_loss_epoch","train_50 - train_loss_epoch__MIN","train_50 - train_loss_epoch__MAX","train_50 - _step","train_50 - _step__MIN","train_50 - _step__MAX","train_25 - train_loss_epoch","train_25 - train_loss_epoch__MIN","train_25 - train_loss_epoch__MAX","train_25 - _step","train_25 - _step__MIN","train_25 - _step__MAX","train_10 - train_loss_epoch","train_10 - train_loss_epoch__MIN","train_10 - train_loss_epoch__MAX","train_10 - _step","train_10 - _step__MIN","train_10 - _step__MAX"
"11","0.0000030949661322665634","0.0000030949661322665634","0.0000030949661322665634","22466","22466","22466","0.000003831774392892839","0.000003831774392892839","0.000003831774392892839","16874","16874","16874","0.0000060557190408871975","0.0000060557190408871975","0.0000060557190408871975","11294","11294","11294","0.000010893830221903045","0.000010893830221903045","0.000010893830221903045","5702","5702","5702","0.000023099870304577053","0.000023099870304577053","0.000023099870304577053","2354","2354","2354"
"12","0.000002713665935516474","0.000002713665935516474","0.000002713665935516474","24337","24337","24337","0.000003600321861085831","0.000003600321861085831","0.000003600321861085831","18279","18279","18279","0.0000054520933190360665","0.0000054520933190360665","0.0000054520933190360665","12234","12234","12234","0.000010469985681993421","0.000010469985681993421","0.000010469985681993421","6176","6176","6176","0.000020726152797578834","0.000020726152797578834","0.000020726152797578834","2549","2549","2549"
"13","0.0000024194762318074936","0.0000024194762318074936","0.0000024194762318074936","26208","26208","26208","0.000003334790790177067","0.000003334790790177067","0.000003334790790177067","19684","19684","19684","0.000005174616035219515","0.000005174616035219515","0.000005174616035219515","13174","13174","13174","0.000009346478691441007","0.000009346478691441007","0.000009346478691441007","6650","6650","6650","0.00002219886300736107","0.00002219886300736107","0.00002219886300736107","2744","2744","2744"
"14","0.0000024048374598351074","0.0000024048374598351074","0.0000024048374598351074","28079","28079","28079","0.0000031456690976483515","0.0000031456690976483515","0.0000031456690976483515","21089","21089","21089","0.000004628032002074178","0.000004628032002074178","0.000004628032002074178","14114","14114","14114","0.000009292642971558962","0.000009292642971558962","0.000009292642971558962","7124","7124","7124","0.000019674380382639356","0.000019674380382639356","0.000019674380382639356","2939","2939","2939"
"15","0.0000022223555333766853","0.0000022223555333766853","0.0000022223555333766853","29950","29950","29950","0.0000028555782591865864","0.0000028555782591865864","0.0000028555782591865864","22494","22494","22494","0.000004471533429750707","0.000004471533429750707","0.000004471533429750707","15054","15054","15054","0.00000835628088680096","0.00000835628088680096","0.00000835628088680096","7598","7598","7598","0.00001790347960195504","0.00001790347960195504","0.00001790347960195504","3134","3134","3134"
"16","0.0000021788084723084467","0.0000021788084723084467","0.0000021788084723084467","31821","31821","31821","0.0000028043439215252874","0.0000028043439215252874","0.0000028043439215252874","23899","23899","23899","0.000004109546352992766","0.000004109546352992766","0.000004109546352992766","15994","15994","15994","0.000008316024832311086","0.000008316024832311086","0.000008316024832311086","8072","8072","8072","0.00001766744753695093","0.00001766744753695093","0.00001766744753695093","3329","3329","3329"
"17","0.000001999962933041388","0.000001999962933041388","0.000001999962933041388","33692","33692","33692","0.0000025111496597673977","0.0000025111496597673977","0.0000025111496597673977","25304","25304","25304","0.000003933441348635824","0.000003933441348635824","0.000003933441348635824","16934","16934","16934","0.00000763190291763749","0.00000763190291763749","0.00000763190291763749","8546","8546","8546","0.000015439229173352942","0.000015439229173352942","0.000015439229173352942","3524","3524","3524"
"18","0.0000019306201011204394","0.0000019306201011204394","0.0000019306201011204394","35563","35563","35563","0.0000026010700366896344","0.0000026010700366896344","0.0000026010700366896344","26709","26709","26709","0.0000037372292354120873","0.0000037372292354120873","0.0000037372292354120873","17874","17874","17874","0.000007316145456570666","0.000007316145456570666","0.000007316145456570666","9020","9020","9020","0.000014697515325678978","0.000014697515325678978","0.000014697515325678978","3719","3719","3719"
"19","0.0000018507195136407972","0.0000018507195136407972","0.0000018507195136407972","37434","37434","37434","0.0000024294163267768454","0.0000024294163267768454","0.0000024294163267768454","28114","28114","28114","0.0000036904593798681162","0.0000036904593798681162","0.0000036904593798681162","18814","18814","18814","0.00000648139939585235","0.00000648139939585235","0.00000648139939585235","9494","9494","9494","0.000016677779058227316","0.000016677779058227316","0.000016677779058227316","3914","3914","3914"
"20","0.0000018256686189488391","0.0000018256686189488391","0.0000018256686189488391","39310","39310","39310","0.000002215482254541712","0.000002215482254541712","0.000002215482254541712","29524","29524","29524","0.000003368797933944734","0.000003368797933944734","0.000003368797933944734","19759","19759","19759","0.000006419549663405633","0.000006419549663405633","0.000006419549663405633","9973","9973","9973","0.000013760764886683319","0.000013760764886683319","0.000013760764886683319","4114","4114","4114"
"21","0.0000017598487147552078","0.0000017598487147552078","0.0000017598487147552078","41181","41181","41181","0.0000022061749405111186","0.0000022061749405111186","0.0000022061749405111186","30929","30929","30929","0.000003278524673078209","0.000003278524673078209","0.000003278524673078209","20699","20699","20699","0.000006727534128003754","0.000006727534128003754","0.000006727534128003754","10447","10447","10447","0.000013417730770015623","0.000013417730770015623","0.000013417730770015623","4309","4309","4309"
"22","0.000001709677349026606","0.000001709677349026606","0.000001709677349026606","43052","43052","43052","0.0000020849154225288657","0.0000020849154225288657","0.0000020849154225288657","32334","32334","32334","0.0000031763588594913017","0.0000031763588594913017","0.0000031763588594913017","21639","21639","21639","0.000005799161044706125","0.000005799161044706125","0.000005799161044706125","10921","10921","10921","0.00001289719784836052","0.00001289719784836052","0.00001289719784836052","4504","4504","4504"
"23","0.0000016498977402079618","0.0000016498977402079618","0.0000016498977402079618","44923","44923","44923","0.0000019221392904000822","0.0000019221392904000822","0.0000019221392904000822","33739","33739","33739","0.000002920906808867585","0.000002920906808867585","0.000002920906808867585","22579","22579","22579","0.000005699253051716369","0.000005699253051716369","0.000005699253051716369","11395","11395","11395","0.000013295029930304736","0.000013295029930304736","0.000013295029930304736","4699","4699","4699"
"24","0.0000016205641486521927","0.0000016205641486521927","0.0000016205641486521927","46794","46794","46794","0.000001935723048518412","0.000001935723048518412","0.000001935723048518412","35144","35144","35144","0.0000027691744435287546","0.0000027691744435287546","0.0000027691744435287546","23519","23519","23519","0.00000509116534885834","0.00000509116534885834","0.00000509116534885834","11869","11869","11869","0.000014453449693974108","0.000014453449693974108","0.000014453449693974108","4894","4894","4894"
"25","0.000001527873678242031","0.000001527873678242031","0.000001527873678242031","48665","48665","48665","0.0000018905153638115735","0.0000018905153638115735","0.0000018905153638115735","36549","36549","36549","0.0000024728153675823705","0.0000024728153675823705","0.0000024728153675823705","24459","24459","24459","0.000005249314654065529","0.000005249314654065529","0.000005249314654065529","12343","12343","12343","0.000013705156561627518","0.000013705156561627518","0.000013705156561627518","5089","5089","5089"
"26","0.0000015504671182497987","0.0000015504671182497987","0.0000015504671182497987","50536","50536","50536","0.0000018388420812698314","0.0000018388420812698314","0.0000018388420812698314","37954","37954","37954","0.000002575731286924565","0.000002575731286924565","0.000002575731286924565","25399","25399","25399","0.000005330508429324254","0.000005330508429324254","0.000005330508429324254","12817","12817","12817","0.000011812056982307695","0.000011812056982307695","0.000011812056982307695","5284","5284","5284"
"27","0.0000014990816907811677","0.0000014990816907811677","0.0000014990816907811677","52407","52407","52407","0.0000018006907112066983","0.0000018006907112066983","0.0000018006907112066983","39359","39359","39359","0.000002669592504389584","0.000002669592504389584","0.000002669592504389584","26339","26339","26339","0.000005007828349334886","0.000005007828349334886","0.000005007828349334886","13291","13291","13291","0.000011781509783759248","0.000011781509783759248","0.000011781509783759248","5479","5479","5479"
"28","0.0000015147865042308695","0.0000015147865042308695","0.0000015147865042308695","54278","54278","54278","0.00000172442150869756","0.00000172442150869756","0.00000172442150869756","40764","40764","40764","0.000002561561814218294","0.000002561561814218294","0.000002561561814218294","27279","27279","27279","0.000004615164471033495","0.000004615164471033495","0.000004615164471033495","13765","13765","13765","0.00001106060608435655","0.00001106060608435655","0.00001106060608435655","5674","5674","5674"
"29","0.0000014268831591834896","0.0000014268831591834896","0.0000014268831591834896","56149","56149","56149","0.0000017318767504548305","0.0000017318767504548305","0.0000017318767504548305","42169","42169","42169","0.000002478281430740026","0.000002478281430740026","0.000002478281430740026","28219","28219","28219","0.0000043700247260858305","0.0000043700247260858305","0.0000043700247260858305","14239","14239","14239","0.00001071245515049668","0.00001071245515049668","0.00001071245515049668","5869","5869","5869"
"30","0.0000014496295079879928","0.0000014496295079879928","0.0000014496295079879928","58025","58025","58025","0.0000016928554487094516","0.0000016928554487094516","0.0000016928554487094516","43579","43579","43579","0.000002350016075070016","0.000002350016075070016","0.000002350016075070016","29164","29164","29164","0.0000042529090933385305","0.0000042529090933385305","0.0000042529090933385305","14718","14718","14718","0.000012123050510126632","0.000012123050510126632","0.000012123050510126632","6069","6069","6069"
"31","0.0000013752891163676395","0.0000013752891163676395","0.0000013752891163676395","59896","59896","59896","0.0000016373945754821762","0.0000016373945754821762","0.0000016373945754821762","44984","44984","44984","0.000002138886202374124","0.000002138886202374124","0.000002138886202374124","30104","30104","30104","0.000004646735305868788","0.000004646735305868788","0.000004646735305868788","15192","15192","15192","0.000011377386726962868","0.000011377386726962868","0.000011377386726962868","6264","6264","6264"
"32","0.0000013588974070444237","0.0000013588974070444237","0.0000013588974070444237","61767","61767","61767","0.0000016262888493656646","0.0000016262888493656646","0.0000016262888493656646","46389","46389","46389","0.000002068711182801053","0.000002068711182801053","0.000002068711182801053","31044","31044","31044","0.0000040860836634237785","0.0000040860836634237785","0.0000040860836634237785","15666","15666","15666","0.000009822625543165486","0.000009822625543165486","0.000009822625543165486","6459","6459","6459"
"33","0.0000013408267705017352","0.0000013408267705017352","0.0000013408267705017352","63638","63638","63638","0.000001611321522432263","0.000001611321522432263","0.000001611321522432263","47794","47794","47794","0.0000022152305518829962","0.0000022152305518829962","0.0000022152305518829962","31984","31984","31984","0.000003620571078499779","0.000003620571078499779","0.000003620571078499779","16140","16140","16140","0.000009132471859629732","0.000009132471859629732","0.000009132471859629732","6654","6654","6654"
"34","0.0000013769487168246997","0.0000013769487168246997","0.0000013769487168246997","65509","65509","65509","0.0000014699630810355302","0.0000014699630810355302","0.0000014699630810355302","49199","49199","49199","0.0000021088073935970897","0.0000021088073935970897","0.0000021088073935970897","32924","32924","32924","0.000003948799985664664","0.000003948799985664664","0.000003948799985664664","16614","16614","16614","0.000009633758963900618","0.000009633758963900618","0.000009633758963900618","6849","6849","6849"
"35","0.0000013433942740448401","0.0000013433942740448401","0.0000013433942740448401","67380","67380","67380","0.000001436078946426278","0.000001436078946426278","0.000001436078946426278","50604","50604","50604","0.00000208004166779574","0.00000208004166779574","0.00000208004166779574","33864","33864","33864","0.000003454871148278471","0.000003454871148278471","0.000003454871148278471","17088","17088","17088","0.000009989478712668642","0.000009989478712668642","0.000009989478712668642","7044","7044","7044"
"36","0.0000013070186923869187","0.0000013070186923869187","0.0000013070186923869187","69251","69251","69251","0.0000015347337694038288","0.0000015347337694038288","0.0000015347337694038288","52009","52009","52009","0.0000018130494936485775","0.0000018130494936485775","0.0000018130494936485775","34804","34804","34804","0.0000035397029023442883","0.0000035397029023442883","0.0000035397029023442883","17562","17562","17562","0.000010032435966422781","0.000010032435966422781","0.000010032435966422781","7239","7239","7239"
"37","0.0000013291339655552292","0.0000013291339655552292","0.0000013291339655552292","71122","71122","71122","0.0000014297916095529217","0.0000014297916095529217","0.0000014297916095529217","53414","53414","53414","0.0000018312276779397507","0.0000018312276779397507","0.0000018312276779397507","35744","35744","35744","0.000003139039563393453","0.000003139039563393453","0.000003139039563393453","18036","18036","18036","0.000009815049452299718","0.000009815049452299718","0.000009815049452299718","7434","7434","7434"
"38","0.0000012679809060500702","0.0000012679809060500702","0.0000012679809060500702","72993","72993","72993","0.000001434021100976679","0.000001434021100976679","0.000001434021100976679","54819","54819","54819","0.000001866069055722619","0.000001866069055722619","0.000001866069055722619","36684","36684","36684","0.0000035897694488085108","0.0000035897694488085108","0.0000035897694488085108","18510","18510","18510","0.000008652554242871702","0.000008652554242871702","0.000008652554242871702","7629","7629","7629"
"39","0.000001339609070782899","0.000001339609070782899","0.000001339609070782899","74864","74864","74864","0.0000014145003888188512","0.0000014145003888188512","0.0000014145003888188512","56224","56224","56224","0.0000020788327219634084","0.0000020788327219634084","0.0000020788327219634084","37624","37624","37624","0.0000032942336929409066","0.0000032942336929409066","0.0000032942336929409066","18984","18984","18984","0.000008702541890670545","0.000008702541890670545","0.000008702541890670545","7824","7824","7824"
"40","0.0000012315160802245373","0.0000012315160802245373","0.0000012315160802245373","76740","76740","76740","0.0000014055267456569709","0.0000014055267456569709","0.0000014055267456569709","57634","57634","57634","0.0000018844847318177926","0.0000018844847318177926","0.0000018844847318177926","38569","38569","38569","0.000002981882971653249","0.000002981882971653249","0.000002981882971653249","19463","19463","19463","0.000008980473467090633","0.000008980473467090633","0.000008980473467090633","8024","8024","8024"
"41","0.0000012909549695905298","0.0000012909549695905298","0.0000012909549695905298","78611","78611","78611","0.0000013749327081313822","0.0000013749327081313822","0.0000013749327081313822","59039","59039","59039","0.0000018721464130067034","0.0000018721464130067034","0.0000018721464130067034","39509","39509","39509","0.0000032641307825542754","0.0000032641307825542754","0.0000032641307825542754","19937","19937","19937","0.000009287815373681951","0.000009287815373681951","0.000009287815373681951","8219","8219","8219"
"42","0.0000012722786095764604","0.0000012722786095764604","0.0000012722786095764604","80482","80482","80482","0.0000013826398799210438","0.0000013826398799210438","0.0000013826398799210438","60444","60444","60444","0.0000018908159518105094","0.0000018908159518105094","0.0000018908159518105094","40449","40449","40449","0.000003071739229199011","0.000003071739229199011","0.000003071739229199011","20411","20411","20411","0.000009839452104642987","0.000009839452104642987","0.000009839452104642987","8414","8414","8414"
"43","0.0000011888580502272816","0.0000011888580502272816","0.0000011888580502272816","82353","82353","82353","0.000001391644218529109","0.000001391644218529109","0.000001391644218529109","61849","61849","61849","0.0000017752064422893454","0.0000017752064422893454","0.0000017752064422893454","41389","41389","41389","0.0000029586180971818976","0.0000029586180971818976","0.0000029586180971818976","20885","20885","20885","0.000008159276148944627","0.000008159276148944627","0.000008159276148944627","8609","8609","8609"
"44","0.000001200709561999247","0.000001200709561999247","0.000001200709561999247","84224","84224","84224","0.0000012797588624380296","0.0000012797588624380296","0.0000012797588624380296","63254","63254","63254","0.0000017115240780185559","0.0000017115240780185559","0.0000017115240780185559","42329","42329","42329","0.0000030422640975302784","0.0000030422640975302784","0.0000030422640975302784","21359","21359","21359","0.000008714326213521417","0.000008714326213521417","0.000008714326213521417","8804","8804","8804"
"45","0.0000012296434306335868","0.0000012296434306335868","0.0000012296434306335868","86095","86095","86095","0.0000013116392665324383","0.0000013116392665324383","0.0000013116392665324383","64659","64659","64659","0.0000017002585082082078","0.0000017002585082082078","0.0000017002585082082078","43269","43269","43269","0.000002813483661157079","0.000002813483661157079","0.000002813483661157079","21833","21833","21833","0.000007979057045304216","0.000007979057045304216","0.000007979057045304216","8999","8999","8999"
"46","0.0000012074709729859023","0.0000012074709729859023","0.0000012074709729859023","87966","87966","87966","0.0000012916897276227246","0.0000012916897276227246","0.0000012916897276227246","66064","66064","66064","0.00000164960442816664","0.00000164960442816664","0.00000164960442816664","44209","44209","44209","0.0000027461458103061887","0.0000027461458103061887","0.0000027461458103061887","22307","22307","22307","0.000007596743671456352","0.000007596743671456352","0.000007596743671456352","9194","9194","9194"
"47","0.000001193554680867237","0.000001193554680867237","0.000001193554680867237","89837","89837","89837","0.0000012424188753357157","0.0000012424188753357157","0.0000012424188753357157","67469","67469","67469","0.0000016547039649594808","0.0000016547039649594808","0.0000016547039649594808","45149","45149","45149","0.000002794489091684227","0.000002794489091684227","0.000002794489091684227","22781","22781","22781","0.000008051742952375207","0.000008051742952375207","0.000008051742952375207","9389","9389","9389"
"48","0.0000011691298595906119","0.0000011691298595906119","0.0000011691298595906119","91708","91708","91708","0.0000012846358004026115","0.0000012846358004026115","0.0000012846358004026115","68874","68874","68874","0.000001632977614463016","0.000001632977614463016","0.000001632977614463016","46089","46089","46089","0.000002762921212706715","0.000002762921212706715","0.000002762921212706715","23255","23255","23255","0.000009938803486875258","0.000009938803486875258","0.000009938803486875258","9584","9584","9584"
"49","0.0000011651164868453634","0.0000011651164868453634","0.0000011651164868453634","93579","93579","93579","0.0000013007424968236592","0.0000013007424968236592","0.0000013007424968236592","70279","70279","70279","0.000001703078737591568","0.000001703078737591568","0.000001703078737591568","47029","47029","47029","0.000002733338760663173","0.000002733338760663173","0.000002733338760663173","23729","23729","23729","0.000007729868229944259","0.000007729868229944259","0.000007729868229944259","9779","9779","9779"
"50","0.0000012437363920980715","0.0000012437363920980715","0.0000012437363920980715","95455","95455","95455","0.0000012303753464948386","0.0000012303753464948386","0.0000012303753464948386","71689","71689","71689","0.0000016851363398018293","0.0000016851363398018293","0.0000016851363398018293","47974","47974","47974","0.0000026706520657171495","0.0000026706520657171495","0.0000026706520657171495","24208","24208","24208","0.000007711620128247887","0.000007711620128247887","0.000007711620128247887","9979","9979","9979"
"51","0.0000011461230542408885","0.0000011461230542408885","0.0000011461230542408885","97326","97326","97326","0.0000012682907026828616","0.0000012682907026828616","0.0000012682907026828616","73094","73094","73094","0.0000015812275933058118","0.0000015812275933058118","0.0000015812275933058118","48914","48914","48914","0.0000025204983558069216","0.0000025204983558069216","0.0000025204983558069216","24682","24682","24682","0.0000077557951954077","0.0000077557951954077","0.0000077557951954077","10174","10174","10174"
"52","0.0000012059796290486702","0.0000012059796290486702","0.0000012059796290486702","99197","99197","99197","0.0000012362675079202745","0.0000012362675079202745","0.0000012362675079202745","74499","74499","74499","0.000001467125343879161","0.000001467125343879161","0.000001467125343879161","49854","49854","49854","0.0000024335404305020347","0.0000024335404305020347","0.0000024335404305020347","25156","25156","25156","0.000007079671831888845","0.000007079671831888845","0.000007079671831888845","10369","10369","10369"
"53","0.0000011706491704899236","0.0000011706491704899236","0.0000011706491704899236","101068","101068","101068","0.0000011867864486703184","0.0000011867864486703184","0.0000011867864486703184","75904","75904","75904","0.0000015545659834970138","0.0000015545659834970138","0.0000015545659834970138","50794","50794","50794","0.000002408428144917707","0.000002408428144917707","0.000002408428144917707","25630","25630","25630","0.000007239257229230134","0.000007239257229230134","0.000007239257229230134","10564","10564","10564"
"54","0.0000011302100801913184","0.0000011302100801913184","0.0000011302100801913184","102939","102939","102939","0.0000012560624327306869","0.0000012560624327306869","0.0000012560624327306869","77309","77309","77309","0.0000015887615063547855","0.0000015887615063547855","0.0000015887615063547855","51734","51734","51734","0.0000024051046239037532","0.0000024051046239037532","0.0000024051046239037532","26104","26104","26104","0.000006305786428129068","0.000006305786428129068","0.000006305786428129068","10759","10759","10759"
"55","0.0000011997158253507223","0.0000011997158253507223","0.0000011997158253507223","104810","104810","104810","0.0000012274502978470991","0.0000012274502978470991","0.0000012274502978470991","78714","78714","78714","0.0000014943105952625046","0.0000014943105952625046","0.0000014943105952625046","52674","52674","52674","0.0000024744126676523592","0.0000024744126676523592","0.0000024744126676523592","26578","26578","26578","0.000007800900675647426","0.000007800900675647426","0.000007800900675647426","10954","10954","10954"
"56","0.0000011753593298635678","0.0000011753593298635678","0.0000011753593298635678","106681","106681","106681","0.0000012095126749045448","0.0000012095126749045448","0.0000012095126749045448","80119","80119","80119","0.0000015060336409078445","0.0000015060336409078445","0.0000015060336409078445","53614","53614","53614","0.0000022651754534308566","0.0000022651754534308566","0.0000022651754534308566","27052","27052","27052","0.000007695221938774921","0.000007695221938774921","0.000007695221938774921","11149","11149","11149"
"57","0.000001174700969386322","0.000001174700969386322","0.000001174700969386322","108552","108552","108552","0.0000011931424523936585","0.0000011931424523936585","0.0000011931424523936585","81524","81524","81524","0.0000015375945849882555","0.0000015375945849882555","0.0000015375945849882555","54554","54554","54554","0.00000230950467994262","0.00000230950467994262","0.00000230950467994262","27526","27526","27526","0.000006809493697801372","0.000006809493697801372","0.000006809493697801372","11344","11344","11344"
"58","0.0000011539797242221539","0.0000011539797242221539","0.0000011539797242221539","110423","110423","110423","0.000001148877800005721","0.000001148877800005721","0.000001148877800005721","82929","82929","82929","0.000001444583858756232","0.000001444583858756232","0.000001444583858756232","55494","55494","55494","0.0000023536979369964683","0.0000023536979369964683","0.0000023536979369964683","28000","28000","28000","0.000006669551112281624","0.000006669551112281624","0.000006669551112281624","11539","11539","11539"
"59","0.0000011291429018456256","0.0000011291429018456256","0.0000011291429018456256","112294","112294","112294","0.0000011608428849285701","0.0000011608428849285701","0.0000011608428849285701","84334","84334","84334","0.000001408444973094447","0.000001408444973094447","0.000001408444973094447","56434","56434","56434","0.0000023708605567662744","0.0000023708605567662744","0.0000023708605567662744","28474","28474","28474","0.000006676742941635894","0.000006676742941635894","0.000006676742941635894","11734","11734","11734"
"60","0.0000011380500382074388","0.0000011380500382074388","0.0000011380500382074388","114170","114170","114170","0.0000011745047459044144","0.0000011745047459044144","0.0000011745047459044144","85744","85744","85744","0.0000014534507499774918","0.0000014534507499774918","0.0000014534507499774918","57379","57379","57379","0.0000023191394120658515","0.0000023191394120658515","0.0000023191394120658515","28953","28953","28953","0.0000066922439145855606","0.0000066922439145855606","0.0000066922439145855606","11934","11934","11934"
"61","0.0000011337548357914784","0.0000011337548357914784","0.0000011337548357914784","116041","116041","116041","0.000001140213157668768","0.000001140213157668768","0.000001140213157668768","87149","87149","87149","0.0000014392023786058417","0.0000014392023786058417","0.0000014392023786058417","58319","58319","58319","0.0000021817877495777793","0.0000021817877495777793","0.0000021817877495777793","29427","29427","29427","0.000006345054316625465","0.000006345054316625465","0.000006345054316625465","12129","12129","12129"
"62","0.0000011429940514062764","0.0000011429940514062764","0.0000011429940514062764","117912","117912","117912","0.0000012080422493454535","0.0000012080422493454535","0.0000012080422493454535","88554","88554","88554","0.0000013785013379674638","0.0000013785013379674638","0.0000013785013379674638","59259","59259","59259","0.000002074767508020159","0.000002074767508020159","0.000002074767508020159","29901","29901","29901","0.000006002324425935512","0.000006002324425935512","0.000006002324425935512","12324","12324","12324"
"63","0.0000011579668353078887","0.0000011579668353078887","0.0000011579668353078887","119783","119783","119783","0.0000011731309541573864","0.0000011731309541573864","0.0000011731309541573864","89959","89959","89959","0.000001399048983330431","0.000001399048983330431","0.000001399048983330431","60199","60199","60199","0.0000021996870600560214","0.0000021996870600560214","0.0000021996870600560214","30375","30375","30375","0.000005973114639346022","0.000005973114639346022","0.000005973114639346022","12519","12519","12519"
