epoch,step,train_loss
0,4,0.07807890325784683
1,9,0.03348352387547493
2,14,0.01852334477007389
3,19,0.007231513503938913
4,24,0.005583236459642649
5,29,0.0064031220972537994
6,34,0.005379288922995329
7,39,0.004374849610030651
8,44,0.004201644100248814
9,49,0.004179122392088175
10,54,0.0039497739635407925
11,59,0.0037903476040810347
12,64,0.0037926221266388893
13,69,0.0037354701198637486
14,74,0.0037045907229185104
15,79,0.003705227980390191
16,84,0.0036936940159648657
17,89,0.0036814287304878235
18,94,0.0036799160297960043
19,99,0.0036772137973457575
20,104,0.0036699797492474318
21,109,0.003670623293146491
22,114,0.003670893842354417
23,119,0.0036674956791102886
24,124,0.003668940393254161
25,129,0.003665665164589882
26,134,0.003663109615445137
27,139,0.0036631852854043245
28,144,0.003663411131128669
29,149,0.0036626276560127735
30,154,0.00366457412019372
31,159,0.00366464932449162
32,164,0.003665636060759425
33,169,0.00366293010301888
34,174,0.0036599531304091215
35,179,0.003661982947960496
36,184,0.0036622348707169294
37,189,0.0036596625577658415
38,194,0.0036637564189732075
39,199,0.003660745918750763
40,204,0.003661823458969593
41,209,0.003663118928670883
42,214,0.003661097027361393
43,219,0.003659205511212349
44,224,0.0036574292462319136
45,229,0.0036623540800064802
46,234,0.003662491450086236
47,239,0.0036629275418817997
48,244,0.0036591014359146357
49,249,0.003660497022792697
