epoch,step,train_loss
0,31,0.027326922863721848
1,63,0.0008094969671219587
2,95,0.00017134984955191612
3,127,0.0001007569590001367
4,159,9.379022958455607e-05
5,191,9.199050691677257e-05
6,223,9.122612391365692e-05
7,255,9.05492197489366e-05
8,287,9.013043018057942e-05
9,319,8.980183338280767e-05
10,351,8.974128286354244e-05
11,383,8.920932305045426e-05
12,415,8.877361688064411e-05
13,447,8.833903848426417e-05
14,479,8.805805555311963e-05
15,511,8.781623910181224e-05
16,543,8.753789734328166e-05
17,575,8.732334390515462e-05
18,607,8.699431782588363e-05
19,639,8.680525206727907e-05
20,671,8.635743870399892e-05
21,703,8.618363790446892e-05
22,735,8.612152305431664e-05
23,767,8.596459520049393e-05
24,799,8.544592128600925e-05
25,831,8.624119800515473e-05
26,863,8.624411566415802e-05
27,895,8.455068746116012e-05
28,927,8.468356827506796e-05
29,959,8.421992242801934e-05
30,991,8.387511479668319e-05
31,1023,8.373743185075e-05
32,1055,8.343562512891367e-05
33,1087,8.368640556000173e-05
34,1119,8.293919381685555e-05
35,1151,8.30141652841121e-05
36,1183,8.291743142763153e-05
37,1215,8.26921605039388e-05
38,1247,8.247210644185543e-05
39,1279,8.209507359424606e-05
40,1311,8.20050117908977e-05
41,1343,8.172597154043615e-05
42,1375,8.175104449037462e-05
43,1407,8.154252282110974e-05
44,1439,8.135771349770948e-05
45,1471,8.094928489299491e-05
46,1503,8.082074054982513e-05
47,1535,8.073401841102168e-05
48,1567,8.077040547505021e-05
49,1599,8.086062007350847e-05
